sex,race,age,edu,state,total,positive
Female,Black,18-34,HS,MN,2,1
Female,Black,18-34,HS,MO,1,1
Female,Black,18-34,HS,MS,3,1
Female,Black,18-34,HS,NC,2,1
Female,Black,18-34,HS,ND,1,1
Female,Black,18-34,HS,NH,4,1
Female,Black,18-34,HS,NJ,1,0
Female,Black,18-34,HS,NM,2,1
Female,Black,18-34,HS,NV,2,2
Female,Black,18-34,HS,OK,3,2
Female,Black,18-34,HS,OR,1,0
Female,Black,18-34,HS,PA,2,1
Female,Black,18-34,HS,PR,3,1
Female,Black,18-34,HS,RI,1,1
Female,Black,18-34,HS,SC,1,1
Female,Black,18-34,HS,SD,3,1
Female,Black,18-34,HS,TN,1,1
Female,Black,18-34,HS,TX,1,1
Female,Black,18-34,HS,UT,3,1
Female,Black,18-34,HS,VA,1,1
Female,Black,18-34,No HS,CO,2,2
Female,Black,18-34,No HS,CT,2,2
Female,Black,18-34,No HS,DC,1,1
Female,Black,18-34,No HS,FL,1,0
Female,Black,18-34,No HS,GA,2,1
Female,Black,18-34,No HS,GU,1,1
Female,Black,18-34,No HS,HI,3,1
Female,Black,18-34,No HS,IA,1,1
Female,Black,18-34,No HS,ID,1,0
Female,Black,18-34,No HS,IL,2,2
Female,Black,18-34,No HS,KY,1,0
Female,Black,18-34,No HS,LA,2,2
Female,Black,18-34,No HS,MA,1,0
Female,Black,18-34,No HS,ME,3,0
Female,Black,18-34,No HS,MI,1,0
Female,Black,18-34,No HS,MN,2,1
Female,Black,18-34,No HS,MO,2,2
Female,Black,18-34,No HS,MS,2,2
Female,Black,18-34,No HS,MT,2,1
Female,Black,18-34,No HS,NC,1,0
Female,Black,18-34,No HS,ND,3,1
Female,Black,18-34,No HS,NE,1,1
Female,Black,18-34,No HS,NH,2,1
Female,Black,18-34,No HS,NJ,1,0
Female,Black,18-34,No HS,NM,1,1
Female,Black,18-34,No HS,NV,3,3
Female,Black,18-34,No HS,NY,2,2
Female,Black,18-34,No HS,OR,2,1
Female,Black,18-34,No HS,PA,2,1
Female,Black,18-34,No HS,SD,2,1
Female,Black,18-34,No HS,TN,1,0
Female,Black,18-34,No HS,TX,1,0
Female,Black,18-34,No HS,VA,3,2
Female,Black,18-34,No HS,VI,1,1
Female,Black,18-34,Post-Grad,CA,1,1
Female,Black,18-34,Post-Grad,CO,3,1
Female,Black,18-34,Post-Grad,CT,1,1
Female,Black,18-34,Post-Grad,DC,5,4
Female,Black,18-34,Post-Grad,DE,1,0
Female,Black,18-34,Post-Grad,GU,1,1
Female,Black,18-34,Post-Grad,IA,1,0
Female,Black,18-34,Post-Grad,ID,3,1
Female,Black,18-34,Post-Grad,IL,3,1
Female,Black,18-34,Post-Grad,IN,2,2
Female,Black,18-34,Post-Grad,LA,2,0
Female,Black,18-34,Post-Grad,MA,4,2
Female,Black,18-34,Post-Grad,MD,4,2
Female,Black,18-34,Post-Grad,ME,3,2
Female,Black,18-34,Post-Grad,MI,1,1
Female,Black,18-34,Post-Grad,MN,5,4
Female,Black,18-34,Post-Grad,MS,1,0
Female,Black,18-34,Post-Grad,MT,1,1
Female,Black,18-34,Post-Grad,NC,1,0
Female,Black,18-34,Post-Grad,ND,1,1
Female,Black,18-34,Post-Grad,NE,2,1
Female,Black,18-34,Post-Grad,NJ,2,1
Female,Black,18-34,Post-Grad,NM,2,2
Female,Black,18-34,Post-Grad,NV,2,1
Female,Black,18-34,Post-Grad,NY,1,1
Female,Black,18-34,Post-Grad,OH,1,0
Female,Black,18-34,Post-Grad,OK,2,2
Female,Black,18-34,Post-Grad,PA,2,2
Female,Black,18-34,Post-Grad,PR,2,2
Female,Black,18-34,Post-Grad,RI,4,4
Female,Black,18-34,Post-Grad,SC,1,1
Female,Black,18-34,Post-Grad,TN,3,1
Female,Black,18-34,Post-Grad,VI,1,0
Female,Black,18-34,Some College,CT,1,1
Female,Black,18-34,Some College,DC,4,3
Female,Black,18-34,Some College,DE,1,1
Female,Black,18-34,Some College,FL,1,1
Female,Black,18-34,Some College,GA,2,2
Female,Black,18-34,Some College,GU,1,1
Female,Black,18-34,Some College,ID,2,1
Female,Black,18-34,Some College,IL,3,2
Female,Black,18-34,Some College,IN,2,1
Female,Black,18-34,Some College,LA,1,1
Female,Black,18-34,Some College,MA,1,1
Female,Black,18-34,Some College,MD,1,0
Female,Black,18-34,Some College,MI,2,0
Female,Black,18-34,Some College,MN,1,1
Female,Black,18-34,Some College,MO,1,0
Female,Black,18-34,Some College,MS,1,1
Female,Black,18-34,Some College,NC,2,0
Female,Black,18-34,Some College,NE,2,2
Female,Black,18-34,Some College,NH,3,3
Female,Black,18-34,Some College,NJ,1,1
Female,Black,18-34,Some College,NV,3,1
Female,Black,18-34,Some College,NY,1,0
Female,Black,18-34,Some College,OH,1,0
Female,Black,18-34,Some College,OK,2,1
Female,Black,18-34,Some College,PA,1,1
Female,Black,18-34,Some College,PR,2,2
Female,Black,18-34,Some College,RI,1,1
Female,Black,18-34,Some College,SC,3,2
Female,Black,18-34,Some College,SD,2,2
Female,Black,18-34,Some College,TN,1,1
Female,Black,18-34,Some College,TX,1,0
Female,Black,18-34,Some College,UT,2,2
Female,Black,18-34,Some College,VA,1,0
Female,Black,18-34,Some College,VI,2,2
Female,Black,35-64,4-Year College,CO,1,0
Female,Black,35-64,4-Year College,DC,1,0
Female,Black,35-64,4-Year College,DE,2,2
Female,Black,35-64,4-Year College,FL,1,1
Female,Black,35-64,4-Year College,GA,1,0
Female,Black,35-64,4-Year College,GU,1,1
Female,Black,35-64,4-Year College,HI,2,0
Female,Black,35-64,4-Year College,IA,2,1
Female,Black,35-64,4-Year College,ID,2,0
Female,Black,35-64,4-Year College,IL,3,2
Female,Black,35-64,4-Year College,IN,2,1
Female,Black,35-64,4-Year College,KS,2,0
Female,Black,35-64,4-Year College,KY,1,1
Female,Black,35-64,4-Year College,LA,2,2
Female,Black,35-64,4-Year College,MA,2,0
Female,Black,35-64,4-Year College,MI,2,0
Female,Black,35-64,4-Year College,MN,1,1
Female,Black,35-64,4-Year College,MO,2,1
Female,Black,35-64,4-Year College,MS,1,0
Female,Black,35-64,4-Year College,MT,2,2
Female,Black,35-64,4-Year College,ND,1,0
Female,Black,35-64,4-Year College,NE,1,1
Female,Black,35-64,4-Year College,NH,2,0
Female,Black,35-64,4-Year College,NJ,1,1
Female,Black,35-64,4-Year College,NM,1,1
Female,Black,35-64,4-Year College,NV,2,1
Female,Black,35-64,4-Year College,NY,4,3
Female,Black,35-64,4-Year College,OH,2,1
Female,Black,35-64,4-Year College,OK,1,0
Female,Black,35-64,4-Year College,PA,1,1
Female,Black,35-64,4-Year College,PR,1,1
Female,Black,35-64,4-Year College,TN,3,0
Female,Black,35-64,4-Year College,TX,3,1
Female,Black,35-64,4-Year College,UT,1,0
Female,Black,35-64,HS,CA,3,2
Female,Black,35-64,HS,CT,2,1
Female,Black,35-64,HS,DC,2,1
Female,Black,35-64,HS,DE,4,2
Female,Black,35-64,HS,FL,5,2
Female,Black,35-64,HS,GA,1,1
Female,Black,35-64,HS,GU,1,1
Female,Black,35-64,HS,HI,2,1
Female,Black,35-64,HS,IA,1,1
Female,Black,35-64,HS,ID,2,0
Female,Black,35-64,HS,IL,2,1
Female,Black,35-64,HS,IN,1,0
Female,Black,35-64,HS,KS,1,1
Female,Black,35-64,HS,KY,1,1
Female,Black,35-64,HS,LA,3,1
Female,Black,35-64,HS,MD,1,0
Female,Black,35-64,HS,MN,1,0
Female,Black,35-64,HS,MO,1,0
Female,Black,35-64,HS,MS,1,1
Female,Black,35-64,HS,MT,3,2
Female,Black,35-64,HS,NE,1,1
Female,Black,35-64,HS,NH,1,0
Female,Black,35-64,HS,NJ,4,1
Female,Black,35-64,HS,NM,2,2
Female,Black,35-64,HS,NV,1,1
Female,Black,35-64,HS,NY,2,2
Female,Black,35-64,HS,OH,1,1
Female,Black,35-64,HS,OK,3,2
Female,Black,35-64,HS,OR,1,0
Female,Black,35-64,HS,RI,1,0
Female,Black,35-64,HS,SC,2,1
Female,Black,35-64,HS,SD,2,1
Female,Black,35-64,HS,TN,2,1
Female,Black,35-64,HS,TX,2,2
Female,Black,35-64,HS,UT,1,1
Female,Black,35-64,HS,VA,1,0
Female,Black,35-64,HS,VI,3,1
Female,Black,35-64,No HS,CO,1,0
Female,Black,35-64,No HS,CT,1,1
Female,Black,35-64,No HS,DC,1,0
Female,Black,35-64,No HS,GU,2,0
Female,Black,35-64,No HS,HI,3,0
Female,Black,35-64,No HS,IA,2,0
Female,Black,35-64,No HS,ID,1,0
Female,Black,35-64,No HS,IN,2,1
Female,Black,35-64,No HS,KS,3,0
Female,Black,35-64,No HS,KY,1,1
Female,Black,35-64,No HS,LA,1,0
Female,Black,35-64,No HS,MA,2,1
Female,Black,35-64,No HS,MD,1,0
Female,Black,35-64,No HS,ME,2,0
Female,Black,35-64,No HS,MN,2,1
Female,Black,35-64,No HS,MO,2,2
Female,Black,35-64,No HS,MS,2,1
Female,Black,35-64,No HS,NC,1,0
Female,Black,35-64,No HS,NM,1,1
Female,Black,35-64,No HS,NV,2,1
Female,Black,35-64,No HS,NY,5,5
Female,Black,35-64,No HS,OH,5,2
Female,Black,35-64,No HS,OK,1,0
Female,Black,35-64,No HS,OR,2,1
Female,Black,35-64,No HS,PA,5,2
Female,Black,35-64,No HS,PR,2,2
Female,Black,35-64,No HS,RI,3,3
Female,Black,35-64,No HS,SC,1,0
Female,Black,35-64,No HS,SD,4,1
Female,Black,35-64,No HS,TN,3,3
Female,Black,35-64,No HS,TX,1,1
Female,Black,35-64,No HS,UT,3,2
Female,Black,35-64,No HS,VA,3,1
Female,Black,35-64,No HS,VI,1,0
Female,Black,35-64,Post-Grad,CO,2,1
Female,Black,35-64,Post-Grad,DC,1,1
Female,Black,35-64,Post-Grad,DE,3,2
Female,Black,35-64,Post-Grad,FL,1,0
Female,Black,35-64,Post-Grad,GU,2,1
Female,Black,35-64,Post-Grad,IA,1,1
Female,Black,35-64,Post-Grad,ID,3,3
Female,Black,35-64,Post-Grad,IL,1,1
Female,Black,35-64,Post-Grad,IN,1,1
Female,Black,35-64,Post-Grad,KS,2,1
Female,Black,35-64,Post-Grad,KY,3,1
Female,Black,35-64,Post-Grad,LA,1,1
Female,Black,35-64,Post-Grad,MA,1,1
Female,Black,35-64,Post-Grad,MD,1,0
Female,Black,35-64,Post-Grad,ME,2,0
Female,Black,35-64,Post-Grad,MI,1,0
Female,Black,35-64,Post-Grad,MN,3,3
Female,Black,35-64,Post-Grad,MO,1,0
Female,Black,35-64,Post-Grad,MT,1,1
Female,Black,35-64,Post-Grad,NC,1,0
Female,Black,35-64,Post-Grad,ND,4,2
Female,Black,35-64,Post-Grad,NH,1,0
Female,Black,35-64,Post-Grad,NM,1,1
Female,Black,35-64,Post-Grad,NV,1,1
Female,Black,35-64,Post-Grad,NY,1,1
Female,Black,35-64,Post-Grad,OH,1,1
Female,Black,35-64,Post-Grad,OK,2,1
Female,Black,35-64,Post-Grad,PA,2,2
Female,Black,35-64,Post-Grad,PR,3,1
Female,Black,35-64,Post-Grad,RI,1,1
Female,Black,35-64,Post-Grad,SC,1,0
Female,Black,35-64,Post-Grad,TN,1,1
Female,Black,35-64,Post-Grad,TX,2,2
Female,Black,35-64,Post-Grad,VA,1,0
Female,Black,35-64,Post-Grad,VI,2,2
Female,Black,35-64,Some College,CO,3,1
Female,Black,35-64,Some College,DC,2,1
Female,Black,35-64,Some College,DE,3,2
Female,Black,35-64,Some College,GA,5,2
Female,Black,35-64,Some College,GU,1,1
Female,Black,35-64,Some College,HI,3,2
Female,Black,35-64,Some College,IA,3,3
Female,Black,35-64,Some College,ID,1,1
Female,Black,35-64,Some College,IL,1,1
Female,Black,35-64,Some College,IN,1,0
Female,Black,35-64,Some College,KY,1,1
Female,Black,35-64,Some College,LA,1,1
Female,Black,35-64,Some College,MA,1,0
Female,Black,35-64,Some College,MI,1,1
Female,Black,35-64,Some College,MN,2,1
Female,Black,35-64,Some College,MO,1,1
Female,Black,35-64,Some College,NC,2,0
Female,Black,35-64,Some College,ND,6,2
Female,Black,35-64,Some College,NE,2,1
Female,Black,35-64,Some College,NH,1,0
Female,Black,35-64,Some College,NJ,3,0
Female,Black,35-64,Some College,NV,1,0
Female,Black,35-64,Some College,NY,1,1
Female,Black,35-64,Some College,OH,4,3
Female,Black,35-64,Some College,OK,5,3
Female,Black,35-64,Some College,OR,1,1
Female,Black,35-64,Some College,PA,2,2
Female,Black,35-64,Some College,PR,3,1
Female,Black,35-64,Some College,RI,2,2
Female,Black,35-64,Some College,SC,2,1
Female,Black,35-64,Some College,TN,1,1
Female,Black,35-64,Some College,TX,1,1
Female,Black,35-64,Some College,UT,1,1
Female,Black,35-64,Some College,VA,2,1
Female,Black,35-64,Some College,VI,1,1
Female,Black,65-74,4-Year College,CA,1,0
Female,Black,65-74,4-Year College,CO,1,0
Female,Black,65-74,4-Year College,CT,2,0
Female,Black,65-74,4-Year College,DC,1,1
Female,Black,65-74,4-Year College,DE,1,0
Female,Black,65-74,4-Year College,FL,4,1
Female,Black,65-74,4-Year College,GA,1,0
Female,Black,65-74,4-Year College,GU,3,1
Female,Black,65-74,4-Year College,HI,1,0
Female,Black,65-74,4-Year College,IA,2,1
Female,Black,65-74,4-Year College,ID,3,0
Female,Black,65-74,4-Year College,IL,2,1
Female,Black,65-74,4-Year College,IN,1,0
Female,Black,65-74,4-Year College,KS,1,1
Female,Black,65-74,4-Year College,KY,2,0
Female,Black,65-74,4-Year College,MD,5,0
Female,Black,65-74,4-Year College,ME,4,0
Female,Black,65-74,4-Year College,MN,5,2
Female,Black,65-74,4-Year College,MO,1,0
Female,Black,65-74,4-Year College,MS,2,0
Female,Black,65-74,4-Year College,MT,2,1
Female,Black,65-74,4-Year College,NC,1,0
Female,Black,65-74,4-Year College,ND,1,0
Female,Black,65-74,4-Year College,NE,2,0
Female,Black,65-74,4-Year College,NH,4,0
Female,Black,65-74,4-Year College,NJ,3,0
Female,Black,65-74,4-Year College,NM,3,0
Female,Black,65-74,4-Year College,OH,1,1
Female,Black,65-74,4-Year College,OK,1,1
Female,Black,65-74,4-Year College,OR,2,1
Female,Black,65-74,4-Year College,PA,2,0
Female,Black,65-74,4-Year College,RI,5,0
Female,Black,65-74,4-Year College,SD,1,0
Female,Black,65-74,4-Year College,TN,2,0
Female,Black,65-74,4-Year College,TX,2,0
Female,Black,65-74,4-Year College,UT,2,0
Female,Black,65-74,4-Year College,VA,1,0
Female,Black,65-74,4-Year College,VI,1,0
Female,Black,65-74,HS,CT,2,1
Female,Black,65-74,HS,DC,1,1
Female,Black,65-74,HS,DE,1,0
Female,Black,65-74,HS,GA,1,1
Female,Black,65-74,HS,GU,2,0
Female,Black,65-74,HS,HI,1,1
Female,Black,65-74,HS,IA,1,0
Female,Black,65-74,HS,ID,1,0
Female,Black,65-74,HS,KS,1,1
Female,Black,65-74,HS,KY,3,0
Female,Black,65-74,HS,LA,3,1
Female,Black,65-74,HS,MA,2,1
Female,Black,65-74,HS,MD,3,0
Female,Black,65-74,HS,ME,1,0
Female,Black,65-74,HS,MI,2,0
Female,Black,65-74,HS,MN,3,1
Female,Black,65-74,HS,MO,4,1
Female,Black,65-74,HS,MS,2,0
Female,Black,65-74,HS,MT,1,0
Female,Black,65-74,HS,NC,1,0
Female,Black,65-74,HS,NE,4,2
Female,Black,65-74,HS,NH,1,0
Female,Black,65-74,HS,NM,1,0
Female,Black,65-74,HS,NY,1,1
Female,Black,65-74,HS,OH,2,1
Female,Black,65-74,HS,OR,4,2
Female,Black,65-74,HS,PA,3,1
Female,Black,65-74,HS,PR,4,2
Female,Black,65-74,HS,RI,3,1
Female,Black,65-74,HS,SC,1,0
Female,Black,65-74,HS,SD,1,0
Female,Black,65-74,HS,TN,1,1
Female,Black,65-74,HS,TX,1,1
Female,Black,65-74,HS,UT,1,0
Female,Black,65-74,HS,VA,3,1
Female,Black,65-74,HS,VI,1,0
Female,Black,65-74,No HS,CA,3,2
Female,Black,65-74,No HS,CO,1,0
Female,Black,65-74,No HS,CT,2,0
Female,Black,65-74,No HS,DC,2,1
Female,Black,65-74,No HS,DE,1,0
Female,Black,65-74,No HS,FL,3,2
Female,Black,65-74,No HS,GA,3,0
Female,Black,65-74,No HS,GU,1,1
Female,Black,65-74,No HS,HI,2,1
Female,Black,65-74,No HS,ID,1,0
Female,Black,65-74,No HS,IL,4,2
Female,Black,65-74,No HS,IN,2,0
Female,Black,65-74,No HS,KY,6,4
Female,Black,65-74,No HS,MI,5,1
Female,Black,65-74,No HS,MN,2,1
Female,Black,65-74,No HS,MO,1,0
Female,Black,65-74,No HS,MS,2,0
Female,Black,65-74,No HS,MT,2,1
Female,Black,65-74,No HS,NC,2,1
Female,Black,65-74,No HS,ND,1,0
Female,Black,65-74,No HS,NE,2,1
Female,Black,65-74,No HS,NH,1,0
Female,Black,65-74,No HS,NJ,2,0
Female,Black,65-74,No HS,NV,4,2
Female,Black,65-74,No HS,OK,1,1
Female,Black,65-74,No HS,OR,1,1
Female,Black,65-74,No HS,PA,1,0
Female,Black,65-74,No HS,PR,1,1
Female,Black,65-74,No HS,RI,6,3
Female,Black,65-74,No HS,VA,4,1
Female,Black,65-74,No HS,VI,4,1
Female,Black,65-74,Post-Grad,CO,1,0
Female,Black,65-74,Post-Grad,CT,2,1
Female,Black,65-74,Post-Grad,DC,1,1
Female,Black,65-74,Post-Grad,FL,3,1
Female,Black,65-74,Post-Grad,GA,1,1
Female,Black,65-74,Post-Grad,GU,3,1
Female,Black,65-74,Post-Grad,IA,1,0
Female,Black,65-74,Post-Grad,IL,1,1
Female,Black,65-74,Post-Grad,IN,2,1
Female,Black,65-74,Post-Grad,KS,1,1
Female,Black,65-74,Post-Grad,KY,2,2
Female,Black,65-74,Post-Grad,LA,1,0
Female,Black,65-74,Post-Grad,ME,1,1
Female,Black,65-74,Post-Grad,MN,2,1
Female,Black,65-74,Post-Grad,MO,1,0
Female,Black,65-74,Post-Grad,MS,2,1
Female,Black,65-74,Post-Grad,MT,1,0
