sex,race,age,edu,state,positive
Male,White,11,Post-Grad,MT,1
Female,White,60,No HS,NE,0
Female,White,15,HS,DC,1
Male,Other,85,Post-Grad,CA,1
Male,Black,27,HS,RI,0
Female,White,23,No HS,GA,0
Female,Black,75,HS,NE,1
Male,Black,63,HS,MN,1
Male,Other,75,HS,IN,1
Male,Other,68,No HS,RI,1
Female,Black,48,Some College,NJ,0
Male,Black,79,Some College,RI,0
Male,Black,93,Post-Grad,FL,0
Male,White,2,Post-Grad,ID,0
Female,White,9,Some College,IA,1
Male,Other,64,Some College,TX,1
Female,Black,37,No HS,GU,0
Female,White,18,HS,MA,0
Male,Other,32,HS,ID,0
Female,Black,67,4-Year College,TX,0
Male,Black,61,Post-Grad,NJ,0
Male,Other,44,No HS,LA,0
Male,Black,66,No HS,NH,1
Female,Other,60,Some College,FL,1
Female,White,70,No HS,KS,0
Male,White,97,No HS,DC,1
Female,White,56,No HS,CA,1
Male,Other,99,Some College,IL,1
Male,Black,5,HS,MA,1
Female,White,86,No HS,ID,1
Male,Black,68,HS,OR,0
Female,Other,1,4-Year College,KS,0
Male,Black,1,Some College,LA,1
Male,Other,1,Post-Grad,VI,1
Female,Other,3,Some College,PA,1
Male,Other,52,4-Year College,DC,0
Male,Black,70,HS,LA,0
Male,White,5,No HS,RI,1
Female,Black,9,HS,MA,0
Male,Black,30,HS,KY,1
Female,White,27,Post-Grad,MA,1
Male,Black,4,4-Year College,LA,1
Male,Black,73,Post-Grad,GU,0
Female,Other,65,HS,NV,1
Female,Other,5,4-Year College,NH,1
Male,White,27,Post-Grad,ID,0
Male,Other,80,No HS,NE,0
Female,White,31,No HS,CT,1
Male,Other,1,Some College,SC,0
Female,Black,82,4-Year College,MT,0
Female,Black,65,Some College,MT,0
Female,White,95,4-Year College,CO,0
Female,Black,60,Post-Grad,ID,1
Female,Other,98,4-Year College,OH,1
Male,Other,66,HS,ND,0
Female,White,65,Post-Grad,UT,0
Male,Other,39,No HS,ND,0
Female,Other,72,4-Year College,KY,0
Female,Other,74,Some College,PR,0
Female,Other,48,4-Year College,KS,1
Female,White,27,4-Year College,IA,1
Female,Other,51,4-Year College,NY,1
Female,Black,16,No HS,RI,1
Female,White,67,Some College,MT,1
Male,Black,13,4-Year College,PA,0
Female,Black,70,No HS,VI,1
Male,Other,60,No HS,OR,1
Female,White,68,No HS,KS,1
Female,Other,3,4-Year College,OH,0
Male,White,10,No HS,MD,1
Male,Other,53,Some College,TN,0
Male,Black,72,Some College,MI,1
Female,White,32,HS,HI,0
Female,Other,9,Some College,TX,1
Male,Black,19,4-Year College,NY,1
Male,Black,68,4-Year College,NY,0
Female,Other,4,Some College,MI,1
Female,White,30,Post-Grad,MS,1
Male,Other,50,Some College,FL,0
Female,White,17,Post-Grad,TN,1
Female,White,10,Some College,SD,0
Female,White,88,Some College,NV,1
Male,Other,74,Post-Grad,NE,0
Male,Other,67,4-Year College,ME,0
Female,Black,29,4-Year College,GU,1
Male,Black,5,HS,TX,0
Male,White,79,No HS,PR,0
Female,Black,18,Post-Grad,IA,0
Female,White,25,Some College,SC,0
Male,Black,33,Some College,MI,1
Male,Other,3,Some College,VI,1
Female,White,17,HS,NE,0
Male,White,70,No HS,CT,0
Male,Black,46,Post-Grad,IL,1
Male,Black,31,Some College,NV,1
Male,Black,18,No HS,MS,0
Female,White,41,Some College,MO,0
Male,Black,55,Post-Grad,MS,1
Male,White,84,Post-Grad,OR,0
Female,Black,91,4-Year College,NY,0
Female,Other,30,HS,GU,0
Male,Black,65,4-Year College,DE,0
Female,Black,17,Post-Grad,MD,0
Male,White,37,Post-Grad,OK,0
Female,White,19,Some College,OH,1
Male,White,81,4-Year College,NM,1
Male,Other,73,No HS,PR,0
Female,Black,4,HS,IN,0
Male,White,44,Some College,MD,0
Female,Other,19,HS,OH,0
Female,Other,31,HS,CT,1
Female,White,1,No HS,IA,1
Male,Other,32,Some College,NE,1
Female,Other,3,HS,TN,0
Female,Black,98,Some College,UT,1
Male,Black,37,Post-Grad,TX,1
Male,Other,41,HS,NY,1
Female,Other,87,4-Year College,UT,0
Male,White,44,No HS,ME,0
Male,Other,56,4-Year College,LA,0
Female,Other,22,Some College,TN,1
Female,Other,2,HS,HI,1
Female,Black,68,Post-Grad,VA,0
Female,Black,88,HS,IN,1
Male,Black,32,Post-Grad,MO,1
Female,Black,77,HS,NJ,0
Female,Black,13,4-Year College,NV,0
Female,Other,21,Post-Grad,VA,1
Female,Black,77,4-Year College,DE,0
Male,White,85,Post-Grad,LA,1
Male,Black,18,HS,OR,1
Male,Other,82,Some College,NH,1
Male,Black,69,HS,RI,0
Male,Black,8,No HS,MO,0
Male,Black,11,HS,ND,0
Male,Black,36,No HS,IN,1
Female,Black,24,4-Year College,LA,1
Male,Black,71,Post-Grad,UT,0
Male,Black,30,Some College,MT,1
Male,Other,27,HS,OH,0
Male,Black,0,No HS,MO,1
Male,Black,51,No HS,DE,0
Male,Black,24,Post-Grad,ME,0
Male,Other,22,HS,NC,1
Male,Black,76,HS,VA,1
Female,White,29,No HS,NV,1
Male,White,65,Post-Grad,CO,0
Male,Black,72,Post-Grad,KS,1
Female,Other,57,No HS,NH,0
Female,White,98,No HS,ND,0
Male,White,45,No HS,NC,0
Female,White,14,HS,MA,1
Male,Black,68,Some College,CA,0
Female,Other,69,HS,NE,0
Female,Black,33,Post-Grad,ID,0
Female,Black,81,No HS,GU,1
Female,Black,67,No HS,NH,0
Female,Black,84,No HS,OR,0
Female,Black,66,HS,TX,1
Female,Other,95,4-Year College,NM,0
Female,White,84,Post-Grad,NH,0
Male,White,71,4-Year College,LA,0
Male,Black,6,Some College,OH,1
Male,Other,73,No HS,LA,0
Male,Black,72,Some College,MD,0
Female,White,78,Post-Grad,DE,1
Male,White,27,4-Year College,TN,1
Female,White,50,HS,NH,0
Female,Other,34,Post-Grad,HI,0
Female,Black,72,4-Year College,NE,0
Female,Other,5,Some College,MA,1
Female,Black,68,4-Year College,NC,0
Male,Black,56,HS,NH,0
Male,Black,66,Some College,MS,0
Male,White,71,Some College,DC,0
Female,Other,68,No HS,TX,0
Female,White,29,HS,NM,1
Female,Other,32,HS,IA,1
Female,Black,43,No HS,NY,1
Male,Other,70,No HS,OH,1
Female,Black,33,HS,ME,1
Female,Other,13,HS,ME,1
Female,Black,34,Some College,RI,1
Male,Other,69,Some College,NY,1
Male,Other,68,HS,NM,0
Male,White,70,No HS,NH,0
Female,Other,10,HS,IA,0
Male,White,42,4-Year College,VI,0
Female,Black,74,No HS,KY,0
Female,Black,68,4-Year College,RI,0
Female,Black,58,Some College,RI,1
Male,White,17,HS,IN,0
Male,White,36,Some College,OH,1
Male,White,71,4-Year College,CT,0
Female,Black,67,No HS,DE,0
Male,Other,67,No HS,PR,0
Male,Black,91,4-Year College,NM,0
Male,White,73,Some College,RI,0
Male,Black,85,4-Year College,SD,1
Male,Other,14,HS,NY,1
Female,Other,98,Some College,DC,1
Male,Black,70,4-Year College,OK,0
Male,White,20,HS,KS,0
Female,White,88,HS,CA,0
Female,Other,89,No HS,IN,0
Male,Black,21,4-Year College,CO,0
Male,Other,56,HS,ME,0
Female,White,90,Post-Grad,KY,1
Female,Black,58,Some College,SC,1
Male,Black,85,No HS,TN,0
Female,White,21,Post-Grad,OR,1
Male,Other,99,Some College,GA,0
Male,Black,25,No HS,MA,1
Male,Other,25,No HS,MT,1
Female,White,98,HS,MO,0
Female,Other,39,Some College,SC,0
Male,White,35,4-Year College,ME,0
Female,Black,78,Some College,NE,0
Female,White,23,Some College,OR,0
Female,Other,5,4-Year College,PA,0
Female,Black,65,Some College,OK,1
Female,White,55,Post-Grad,ND,1
Female,White,98,Some College,MI,1
Male,Black,87,Post-Grad,SD,0
Female,Other,36,HS,FL,1
Male,Black,13,4-Year College,IN,0
Female,Other,60,4-Year College,KS,0
Male,White,41,HS,ID,1
Female,White,74,Post-Grad,OR,0
Male,Black,10,4-Year College,HI,0
Male,Black,67,Some College,MO,0
Female,Other,15,No HS,ID,1
Female,Black,52,4-Year College,NJ,1
Male,White,76,HS,IL,0
Male,Black,53,Some College,LA,0
Male,Other,84,HS,RI,0
Female,Other,37,Post-Grad,NM,1
Female,Other,68,HS,VI,1
Female,White,6,Some College,VA,1
Female,Black,22,Post-Grad,MT,1
Female,Black,29,Post-Grad,SC,1
Male,White,74,Some College,NC,1
Male,Other,56,4-Year College,SC,1
Male,Black,80,4-Year College,IA,0
Female,Other,71,Some College,ND,0
Female,Other,28,Some College,CA,0
Female,Black,51,HS,NM,1
Female,Other,29,Some College,DE,0
Female,Other,0,Post-Grad,RI,1
Female,White,31,HS,MA,0
Male,White,4,Post-Grad,CT,1
Female,White,34,HS,GU,0
Female,Black,49,No HS,MA,1
Male,White,78,No HS,SC,0
Male,Black,5,No HS,NM,0
Male,Other,5,4-Year College,VA,1
Female,Other,26,HS,MA,0
Male,White,67,No HS,GU,1
Male,White,65,Post-Grad,SC,1
Male,Black,95,Post-Grad,LA,1
Female,White,26,Post-Grad,MO,1
Male,White,18,No HS,NC,0
Female,Other,70,No HS,NM,1
Female,White,27,No HS,NE,0
Male,Black,83,HS,TX,0
Female,White,4,No HS,RI,1
Female,White,82,Some College,TN,0
Female,Other,46,HS,MN,1
Male,Other,94,Some College,GU,1
Male,Other,51,HS,NE,0
Male,White,57,Post-Grad,NE,1
Male,Other,89,Some College,VI,0
Male,Other,71,Post-Grad,CT,0
Female,White,41,Post-Grad,TN,1
Female,Black,54,Some College,CO,0
Female,Black,87,Some College,PA,1
Male,Black,69,HS,NV,0
Male,White,68,Some College,MD,0
Female,Black,100,Post-Grad,MS,1
Male,Other,49,4-Year College,NY,1
Male,Other,31,Post-Grad,KS,1
Female,White,2,Some College,VA,1
Female,Black,67,4-Year College,SD,0
Female,Black,26,HS,HI,1
Male,White,13,No HS,LA,0
Female,Black,84,HS,OK,0
Female,Black,71,No HS,NV,0
Female,Other,29,Some College,MA,0
Female,Other,74,Some College,MO,0
Male,Black,59,Some College,IL,1
Female,Other,33,Some College,ME,0
Male,Other,3,Post-Grad,GU,1
Male,White,5,No HS,CT,1
Male,Black,69,No HS,MA,0
Male,Black,36,Post-Grad,NE,1
Male,Black,24,Some College,IN,0
Male,Black,46,Post-Grad,FL,0
Female,Black,99,Some College,KY,1
Female,White,3,Some College,IA,0
Male,White,21,Some College,ME,1
Male,Black,11,Post-Grad,CO,0
Female,Black,63,Some College,HI,0
Female,Other,5,No HS,NV,1
Female,Black,91,4-Year College,MN,0
Female,Black,97,No HS,NC,1
Male,Black,66,HS,MO,1
Female,Black,72,Some College,VA,0
Male,Black,70,Some College,OH,1
Female,Other,12,Some College,SD,1
Male,Other,52,No HS,SC,1
Female,Other,13,No HS,RI,0
Female,White,16,Some College,NM,1
Female,White,31,Post-Grad,MT,1
Female,Other,11,HS,MS,0
Female,Other,27,No HS,MI,1
Female,Black,55,HS,SC,1
Female,White,8,Some College,OK,1
Male,White,69,4-Year College,IN,0
Female,Black,3,4-Year College,NM,1
Female,White,94,4-Year College,MO,0
Male,Other,93,Some College,TN,1
Female,Black,1,No HS,IA,0
Male,Other,70,4-Year College,MD,0
Female,White,52,Some College,NY,1
Male,Black,68,HS,MN,0
Male,Other,96,No HS,DC,1
Male,White,46,HS,CA,1
Female,Other,99,HS,MA,1
Female,White,40,No HS,ND,0
Male,Other,76,HS,GA,0
Female,White,40,HS,MT,0
Female,White,16,HS,NH,1
Female,Black,11,Some College,PR,1
Female,Black,96,HS,MN,1
Female,Other,14,No HS,PR,1
Female,White,21,Post-Grad,TN,0
Male,White,78,HS,IN,0
Female,White,10,Some College,NC,1
Female,Black,30,No HS,PA,1
Male,Other,16,HS,FL,1
Female,Black,18,No HS,NV,1
Male,Black,84,Some College,RI,1
Female,Other,76,Some College,MS,0
Female,Other,6,No HS,MI,1
Male,Black,8,4-Year College,IL,0
Female,Other,18,Some College,MA,0
Male,Black,70,No HS,GU,1
Male,Other,15,No HS,GU,1
Male,Black,10,4-Year College,DC,1
Female,Black,72,4-Year College,MD,0
Male,Other,14,Some College,MI,1
Female,Black,94,Post-Grad,NJ,0
Female,Other,32,4-Year College,DE,1
Female,Other,77,4-Year College,IN,1
Male,White,67,No HS,PR,0
Male,Black,22,HS,OK,0
Female,Black,94,4-Year College,DE,0
Female,Black,36,No HS,OK,0
Male,Black,7,Some College,CO,0
Male,White,81,No HS,VI,0
Male,Other,77,4-Year College,NJ,0
Female,White,15,Post-Grad,DC,1
Male,Other,48,Post-Grad,MD,0
Male,White,74,No HS,ND,0
Female,Other,20,No HS,NV,0
Male,White,98,HS,TN,0
Female,White,83,No HS,CA,1
Female,Black,67,No HS,NV,1
Male,White,33,No HS,NY,0
Male,Other,78,Some College,TX,0
Female,Black,3,4-Year College,ND,0
Male,White,6,Some College,ND,1
Female,White,50,No HS,MD,1
Female,Other,93,No HS,FL,0
Male,Black,40,Post-Grad,ME,1
Male,Black,28,No HS,LA,0
Female,Other,24,No HS,GA,0
Male,White,72,No HS,CT,0
Female,Other,71,HS,VA,1
Female,White,38,HS,FL,1
Male,White,65,Post-Grad,UT,0
Male,White,88,Some College,MI,1
Female,White,6,Post-Grad,PR,0
Male,Black,26,Some College,OR,1
Male,Black,73,HS,GA,0
Male,Black,73,No HS,NC,0
Female,White,5,4-Year College,MS,0
Male,White,71,No HS,MN,0
Female,White,55,Some College,OK,1
Male,Other,15,No HS,SC,0
Male,Other,42,Post-Grad,CA,1
Male,Black,95,No HS,MT,0
Female,Other,6,4-Year College,GU,1
Female,Other,77,HS,KY,1
Male,White,22,HS,ID,0
Female,Other,61,HS,NY,1
Male,White,25,Some College,OR,1
Male,Black,36,Some College,TX,1
Male,Other,31,Some College,MI,1
Female,Black,23,HS,NC,0
Male,Other,4,No HS,NY,1
Male,White,11,4-Year College,MA,0
Female,Other,100,No HS,OH,0
Male,White,70,Post-Grad,TN,0
Male,Black,8,4-Year College,MS,1
Male,White,93,No HS,MS,1
Male,White,76,4-Year College,ND,0
Male,Black,56,No HS,UT,1
Female,Black,25,No HS,TN,0
Female,Other,95,No HS,PR,1
Male,Black,14,No HS,OH,1
Male,Other,2,No HS,MO,1
Female,Other,79,No HS,MS,1
Male,Black,55,HS,KS,0
Male,White,6,HS,NY,1
Female,Black,71,No HS,CA,1
Female,Black,73,No HS,PR,1
Female,Other,41,Some College,PA,0
Male,Other,42,Post-Grad,SC,0
Female,Black,70,HS,GU,0
Male,White,69,4-Year College,ID,0
Female,Black,59,No HS,NC,0
Male,Other,54,Some College,PR,0
Female,Other,47,Post-Grad,DC,1
Female,White,11,HS,TX,0
Male,Black,93,Some College,KS,1
Male,Black,13,Some College,MN,1
Male,Other,91,HS,NE,1
Male,White,17,No HS,ID,0
Female,White,90,4-Year College,UT,0
Female,White,83,4-Year College,ND,1
Male,Black,34,HS,PA,1
Male,Other,84,HS,ME,0
Female,Black,53,No HS,OR,1
Male,White,39,HS,NH,1
Male,Other,90,HS,MS,0
Male,Other,46,HS,SD,0
Male,Black,60,HS,CA,1
Male,Black,100,4-Year College,NV,0
Female,White,71,HS,FL,1
Male,Black,62,Post-Grad,CT,1
Female,Black,0,No HS,ID,0
Male,White,95,No HS,DC,1
Male,Black,8,Post-Grad,KY,1
Male,Black,83,Some College,KY,0
Female,Black,1,Post-Grad,KS,1
Male,White,46,HS,MT,0
Male,Other,46,Post-Grad,CO,1
Male,White,72,4-Year College,MI,0
Male,Other,78,HS,KY,1
Male,Other,9,Post-Grad,MT,0
Female,Black,79,Some College,TX,1
Male,White,38,Post-Grad,SD,0
Female,Other,42,HS,VI,1
Male,Black,34,HS,NH,0
Female,Black,12,Post-Grad,LA,1
Female,Black,64,4-Year College,IL,0
Male,Black,66,Some College,MS,1
Male,White,33,HS,MI,0
Female,Black,7,Some College,KY,0
Male,Black,99,Post-Grad,MO,1
Male,Black,66,Some College,ND,0
Female,White,100,No HS,NV,1
Male,Black,54,HS,PR,1
Male,Other,23,HS,RI,0
Male,Black,85,No HS,GU,1
Female,Other,44,4-Year College,ME,0
Male,Black,100,HS,MI,0
Female,White,61,4-Year College,TN,0
Male,Other,89,No HS,NY,1
Female,Other,86,4-Year College,KS,0
Male,White,18,Some College,MO,1
Male,Other,16,No HS,KS,0
Male,White,14,Some College,NH,1
Male,Other,67,Post-Grad,IN,0
Male,White,66,4-Year College,CO,0
Male,Black,76,Some College,MI,0
Male,White,1,4-Year College,VI,0
Male,Black,27,Some College,ME,1
Male,Black,70,Some College,TN,0
Male,Other,15,HS,MI,0
Female,White,40,Some College,DE,0
Male,White,50,Some College,ND,0
Female,Black,30,No HS,CT,1
Female,Black,25,Post-Grad,DC,1
Female,Other,26,HS,MS,0
Male,Other,52,Some College,MO,1
Male,Other,24,Some College,SD,0
Female,Other,89,No HS,ID,0
Male,White,10,4-Year College,OR,0
Female,Other,27,Post-Grad,IL,1
Female,Black,25,HS,DE,0
Male,White,95,HS,UT,1
Male,White,68,No HS,RI,0
Male,Other,68,No HS,FL,0
Female,Black,55,HS,OK,1
Female,Other,76,No HS,MO,1
Male,Other,95,4-Year College,MO,0
Female,Other,15,HS,CT,0
Male,Black,29,Some College,MD,1
Female,Black,16,No HS,MN,1
Male,Black,44,Post-Grad,TX,1
Female,Other,23,4-Year College,NM,0
Female,White,65,Some College,CA,0
Male,Other,22,HS,MT,0
Male,Other,57,No HS,NV,0
Male,White,0,4-Year College,DC,1
Male,Other,26,No HS,OH,1
Male,Other,81,Post-Grad,VA,1
Male,Other,36,No HS,NV,0
Female,Black,2,Some College,MI,1
Male,Other,72,HS,IL,1
Male,Other,12,Some College,NH,1
Female,Other,68,Post-Grad,KY,0
Female,Other,37,4-Year College,DE,0
Female,White,4,4-Year College,OK,1
Male,Black,27,4-Year College,OK,1
Female,White,32,Post-Grad,IA,1
Female,Black,18,Post-Grad,NY,1
Female,Other,19,Post-Grad,HI,1
Female,White,1,No HS,PA,1
Female,Other,98,HS,TN,0
Female,White,1,Post-Grad,NH,1
Female,White,73,4-Year College,MD,0
Female,White,3,Some College,TN,0
Female,Black,33,No HS,MO,1
Male,Other,30,Post-Grad,TN,1
Male,Other,65,Some College,CO,0
Male,Black,55,Post-Grad,GU,1
Female,Other,70,4-Year College,LA,0
Male,White,67,No HS,MI,1
Female,White,76,No HS,ME,0
Male,Other,6,Some College,UT,1
Male,Other,74,No HS,MT,0
Female,White,16,No HS,PR,0
Male,Other,32,4-Year College,VA,1
Female,Black,96,Post-Grad,NJ,1
Female,White,60,No HS,FL,0
Male,Black,36,No HS,MO,0
Female,Black,23,4-Year College,NV,1
Female,White,99,No HS,NV,0
Female,Black,90,No HS,KY,1
Female,Black,76,Some College,CO,0
Male,White,42,Post-Grad,CA,1
Male,Black,7,HS,MT,1
Female,Other,17,Post-Grad,MD,1
Female,Black,70,4-Year College,RI,0
Female,Black,65,4-Year College,FL,0
Female,White,69,4-Year College,ND,0
Female,Other,82,No HS,HI,0
Female,Other,61,No HS,OK,1
Female,Other,9,4-Year College,MN,1
Male,Other,65,HS,VA,1
Male,White,77,Some College,NV,0
Male,White,71,HS,IL,0
Male,White,72,4-Year College,SC,0
Male,Other,18,4-Year College,PR,1
Female,Black,100,Post-Grad,RI,1
Male,Other,35,HS,MN,1
Male,White,57,HS,CO,0
Female,Other,92,Some College,MI,1
Female,Black,75,HS,MO,0
Male,Other,77,Some College,SC,1
Female,White,20,Some College,MA,1
Male,White,88,HS,NH,1
Female,White,2,Some College,OH,0
Female,Other,18,4-Year College,TX,0
Male,Black,71,No HS,NJ,1
Male,Black,82,HS,MD,0
Male,White,10,No HS,CA,0
Female,Other,1,Post-Grad,NC,1
Female,Other,74,HS,TX,1
Male,Black,86,Post-Grad,FL,1
Male,White,65,Post-Grad,IN,0
Female,White,61,Some College,IN,0
Female,Other,65,Some College,CT,1
Male,White,29,4-Year College,NM,0
Female,Black,20,No HS,OR,1
Male,Other,16,4-Year College,MS,1
Female,White,40,HS,PR,0
Male,Black,80,No HS,MD,0
Male,Black,20,4-Year College,VI,1
Female,Black,22,4-Year College,NV,1
Female,Other,96,Post-Grad,NM,1
Male,White,78,HS,HI,1
Male,White,8,HS,PR,0
Female,White,58,HS,MO,1
Female,White,59,Post-Grad,NH,0
Male,Black,78,4-Year College,UT,0
Male,Black,20,No HS,NJ,1
Female,Black,42,Some College,PA,1
Male,White,18,Post-Grad,PR,1
Male,White,20,No HS,HI,0
Female,White,0,Some College,VI,1
Female,White,73,HS,PA,1
Female,Black,68,Post-Grad,NE,1
Female,Black,34,Some College,SC,0
Female,Black,30,Some College,NE,1
Female,White,6,4-Year College,RI,1
Female,Black,84,Post-Grad,MS,0
Female,White,92,Post-Grad,HI,1
Male,Other,90,No HS,PA,0
Female,Black,65,Post-Grad,OR,1
Male,Black,60,4-Year College,MO,0
Male,White,13,4-Year College,TX,1
Female,Black,74,No HS,ND,0
Male,Black,63,No HS,MO,0
Female,Black,72,No HS,MS,0
Male,Other,70,No HS,SD,0
Female,Other,21,Post-Grad,NM,1
Female,Black,70,4-Year College,NH,0
Male,Black,97,No HS,DC,1
Male,Other,66,4-Year College,MI,0
Male,Other,16,Some College,OH,0
Male,White,22,No HS,CT,1
Male,White,13,Post-Grad,NJ,0
Male,Other,68,No HS,OH,0
Female,Other,67,Some College,NM,0
Female,Black,90,Some College,PR,0
Female,Black,5,HS,MD,0
Female,Black,67,Post-Grad,PR,0
Female,Black,6,No HS,LA,1
Female,White,22,4-Year College,TN,0
Male,Black,68,Some College,MD,0
Male,Black,73,HS,MN,1
Female,Black,100,Post-Grad,NH,1
Female,White,25,4-Year College,NY,1
Female,Black,60,No HS,IN,0
Male,White,3,No HS,IA,1
Male,White,26,Some College,PA,1
Male,Other,87,No HS,GU,1
Male,White,30,HS,MI,0
Male,Other,24,Post-Grad,KS,0
Female,Black,4,No HS,CA,1
Female,Other,21,No HS,NC,0
Female,Other,29,HS,HI,1
Female,Other,33,4-Year College,VI,1
Male,Other,73,4-Year College,NH,0
Female,Black,12,Some College,LA,1
Male,Black,50,4-Year College,NH,0
Female,Other,17,Post-Grad,CT,1
Female,Black,16,4-Year College,OK,0
Female,White,32,Post-Grad,SD,1
Female,Black,13,No HS,IA,0
Female,White,22,Post-Grad,IL,0
Male,Black,86,Some College,NJ,0
Female,White,13,4-Year College,DE,0
Female,Black,52,HS,MT,0
Female,Black,79,4-Year College,TN,1
Female,White,42,4-Year College,MS,0
Female,Black,78,HS,NH,0
Male,Other,73,HS,FL,0
Female,Black,23,Some College,NH,1
Male,White,0,4-Year College,PR,1
Male,White,67,Post-Grad,HI,0
Female,Other,34,No HS,GU,0
Female,White,26,HS,OH,0
Male,White,34,Some College,KY,1
Female,Other,60,No HS,LA,0
Male,Black,89,4-Year College,VI,1
Male,Other,71,No HS,OH,0
Male,Black,74,Post-Grad,GU,1
Female,Other,40,Post-Grad,TN,1
Male,Other,33,Some College,FL,0
Female,Other,86,HS,SD,1
Female,White,61,Some College,SC,0
Male,Other,67,Some College,PR,0
Female,White,67,No HS,ID,0
