sex,race,age,zip,county,state,total,positive
Female,Black,65-74,77841,48041,TX,22,14
Female,Black,65-74,77842,48041,TX,24,14
Female,Black,65-74,77843,48041,TX,19,12
Female,Black,65-74,77844,48041,TX,12,7
Female,Black,65-74,77845,48041,TX,6,2
Female,Black,65-74,77850,48289,TX,7,0
Female,Black,65-74,77852,48051,TX,25,15
Female,Black,65-74,77853,48287,TX,20,15
Female,Black,65-74,77855,48289,TX,9,6
Female,Black,65-74,77856,48395,TX,17,11
Female,Black,65-74,77857,48331,TX,16,6
Female,Black,75+,77830,48185,TX,16,14
Female,Black,75+,77831,48185,TX,15,11
Female,Black,75+,77833,48477,TX,15,8
Female,Black,75+,77834,48477,TX,12,7
Female,Black,75+,77835,48477,TX,12,4
Female,Black,75+,77836,48051,TX,12,9
Female,Black,75+,77837,48395,TX,18,13
Female,Black,75+,77838,48051,TX,17,6
Female,Black,75+,77840,48041,TX,18,5
Female,Black,75+,77841,48041,TX,9,3
Female,Black,75+,77842,48041,TX,16,10
Female,Black,75+,77843,48041,TX,18,9
Female,Black,75+,77844,48041,TX,13,5
Female,Black,75+,77845,48041,TX,20,6
Female,Black,75+,77850,48289,TX,19,6
Female,Black,75+,77852,48051,TX,16,12
Female,Black,75+,77853,48287,TX,9,8
Female,Black,75+,77855,48289,TX,11,4
Female,Black,75+,77856,48395,TX,14,6
Female,Black,75+,77857,48331,TX,11,8
Female,Other,0-17,77830,48185,TX,14,10
Female,Other,0-17,77831,48185,TX,13,7
Female,Other,0-17,77833,48477,TX,17,10
Female,Other,0-17,77834,48477,TX,14,7
Female,Other,0-17,77835,48477,TX,22,12
Female,Other,0-17,77836,48051,TX,17,10
Female,Other,0-17,77837,48395,TX,12,4
Female,Other,0-17,77838,48051,TX,20,10
Female,Other,0-17,77840,48041,TX,22,10
Female,Other,0-17,77841,48041,TX,21,12
Female,Other,0-17,77842,48041,TX,14,8
Female,Other,0-17,77843,48041,TX,12,9
Female,Other,0-17,77844,48041,TX,17,11
Female,Other,0-17,77845,48041,TX,17,6
Female,Other,0-17,77850,48289,TX,20,8
Female,Other,0-17,77852,48051,TX,15,9
Female,Other,0-17,77853,48287,TX,18,13
Female,Other,0-17,77855,48289,TX,13,8
Female,Other,0-17,77856,48395,TX,17,12
Female,Other,0-17,77857,48331,TX,18,9
Female,Other,18-34,77830,48185,TX,21,15
Female,Other,18-34,77831,48185,TX,16,14
Female,Other,18-34,77833,48477,TX,8,3
Female,Other,18-34,77834,48477,TX,20,8
Female,Other,18-34,77835,48477,TX,13,2
Female,Other,18-34,77836,48051,TX,26,14
Female,Other,18-34,77837,48395,TX,10,9
Female,Other,18-34,77838,48051,TX,24,7
Female,Other,18-34,77840,48041,TX,17,9
Female,Other,18-34,77841,48041,TX,18,10
Female,Other,18-34,77842,48041,TX,13,7
Female,Other,18-34,77843,48041,TX,17,11
Female,Other,18-34,77844,48041,TX,15,4
Female,Other,18-34,77845,48041,TX,17,7
Female,Other,18-34,77850,48289,TX,20,4
Female,Other,18-34,77852,48051,TX,19,11
Female,Other,18-34,77853,48287,TX,15,7
Female,Other,18-34,77855,48289,TX,11,7
Female,Other,18-34,77856,48395,TX,22,15
Female,Other,18-34,77857,48331,TX,11,9
Female,Other,35-64,77830,48185,TX,23,22
Female,Other,35-64,77831,48185,TX,10,4
Female,Other,35-64,77833,48477,TX,20,13
Female,Other,35-64,77834,48477,TX,13,8
Female,Other,35-64,77835,48477,TX,20,15
Female,Other,35-64,77836,48051,TX,14,8
Female,Other,35-64,77837,48395,TX,16,8
Female,Other,35-64,77838,48051,TX,16,6
Female,Other,35-64,77840,48041,TX,15,10
Female,Other,35-64,77841,48041,TX,18,14
Female,Other,35-64,77842,48041,TX,14,9
Female,Other,35-64,77843,48041,TX,13,10
Female,Other,35-64,77844,48041,TX,11,10
Female,Other,35-64,77845,48041,TX,20,8
Female,Other,35-64,77850,48289,TX,18,11
Female,Other,35-64,77852,48051,TX,14,7
Female,Other,35-64,77853,48287,TX,12,10
Female,Other,35-64,77855,48289,TX,18,15
Female,Other,35-64,77856,48395,TX,18,14
Female,Other,35-64,77857,48331,TX,15,13
Female,Other,65-74,77830,48185,TX,18,13
Female,Other,65-74,77831,48185,TX,14,11
Female,Other,65-74,77833,48477,TX,19,10
Female,Other,65-74,77834,48477,TX,23,14
Female,Other,65-74,77835,48477,TX,24,10
Female,Other,65-74,77836,48051,TX,15,9
Female,Other,65-74,77837,48395,TX,20,14
Female,Other,65-74,77838,48051,TX,19,6
Female,Other,65-74,77840,48041,TX,17,6
Female,Other,65-74,77841,48041,TX,17,12
Female,Other,65-74,77842,48041,TX,19,11
Female,Other,65-74,77843,48041,TX,13,7
Female,Other,65-74,77844,48041,TX,16,8
Female,Other,65-74,77845,48041,TX,17,8
Female,Other,65-74,77850,48289,TX,15,5
Female,Other,65-74,77852,48051,TX,16,6
Female,Other,65-74,77853,48287,TX,22,15
Female,Other,65-74,77855,48289,TX,20,8
Female,Other,65-74,77856,48395,TX,25,14
Female,Other,65-74,77857,48331,TX,14,10
Female,Other,75+,77830,48185,TX,7,6
Female,Other,75+,77831,48185,TX,18,9
Female,Other,75+,77833,48477,TX,15,4
Female,Other,75+,77834,48477,TX,13,9
Female,Other,75+,77835,48477,TX,18,5
Female,Other,75+,77836,48051,TX,14,10
Female,Other,75+,77837,48395,TX,17,10
Female,Other,75+,77838,48051,TX,20,7
Female,Other,75+,77840,48041,TX,14,5
Female,Other,75+,77841,48041,TX,15,7
Female,Other,75+,77842,48041,TX,8,5
Female,Other,75+,77843,48041,TX,18,13
Female,Other,75+,77844,48041,TX,15,1
Female,Other,75+,77845,48041,TX,16,7
Female,Other,75+,77850,48289,TX,16,3
Female,Other,75+,77852,48051,TX,21,12
Female,Other,75+,77853,48287,TX,21,12
Female,Other,75+,77855,48289,TX,19,13
Female,Other,75+,77856,48395,TX,11,6
Female,Other,75+,77857,48331,TX,12,5
Female,White,0-17,77830,48185,TX,22,21
Female,White,0-17,77831,48185,TX,16,11
Female,White,0-17,77833,48477,TX,21,18
Female,White,0-17,77834,48477,TX,17,8
Female,White,0-17,77835,48477,TX,15,9
Female,White,0-17,77836,48051,TX,16,12
Female,White,0-17,77837,48395,TX,20,15
Female,White,0-17,77838,48051,TX,14,8
Female,White,0-17,77840,48041,TX,16,9
Female,White,0-17,77841,48041,TX,16,8
Female,White,0-17,77842,48041,TX,24,18
Female,White,0-17,77843,48041,TX,13,10
Female,White,0-17,77844,48041,TX,17,12
Female,White,0-17,77845,48041,TX,15,7
Female,White,0-17,77850,48289,TX,12,3
Female,White,0-17,77852,48051,TX,23,16
Female,White,0-17,77853,48287,TX,11,9
Female,White,0-17,77855,48289,TX,12,11
Female,White,0-17,77856,48395,TX,13,7
Female,White,0-17,77857,48331,TX,14,8
Female,White,18-34,77830,48185,TX,21,16
Female,White,18-34,77831,48185,TX,11,8
Female,White,18-34,77833,48477,TX,15,9
Female,White,18-34,77834,48477,TX,20,15
Female,White,18-34,77835,48477,TX,13,7
Female,White,18-34,77836,48051,TX,16,9
Female,White,18-34,77837,48395,TX,15,8
Female,White,18-34,77838,48051,TX,22,9
Female,White,18-34,77840,48041,TX,15,7
Female,White,18-34,77841,48041,TX,9,7
Female,White,18-34,77842,48041,TX,22,16
Female,White,18-34,77843,48041,TX,14,10
Female,White,18-34,77844,48041,TX,13,6
Female,White,18-34,77845,48041,TX,18,8
Female,White,18-34,77850,48289,TX,12,3
Female,White,18-34,77852,48051,TX,19,11
Female,White,18-34,77853,48287,TX,16,11
Female,White,18-34,77855,48289,TX,8,6
Female,White,18-34,77856,48395,TX,18,11
Female,White,18-34,77857,48331,TX,13,8
Female,White,35-64,77830,48185,TX,20,19
Female,White,35-64,77831,48185,TX,15,11
Female,White,35-64,77833,48477,TX,19,15
Female,White,35-64,77834,48477,TX,14,11
Female,White,35-64,77835,48477,TX,22,14
Female,White,35-64,77836,48051,TX,11,8
Female,White,35-64,77837,48395,TX,21,19
Female,White,35-64,77838,48051,TX,13,7
Female,White,35-64,77840,48041,TX,12,6
Female,White,35-64,77841,48041,TX,27,21
Female,White,35-64,77842,48041,TX,22,14
Female,White,35-64,77843,48041,TX,20,17
Female,White,35-64,77844,48041,TX,22,13
Female,White,35-64,77845,48041,TX,9,7
Female,White,35-64,77850,48289,TX,18,10
Female,White,35-64,77852,48051,TX,16,12
Female,White,35-64,77853,48287,TX,17,14
Female,White,35-64,77855,48289,TX,20,16
Female,White,35-64,77856,48395,TX,23,21
Female,White,35-64,77857,48331,TX,10,9
Female,White,65-74,77830,48185,TX,22,19
Female,White,65-74,77831,48185,TX,17,11
Female,White,65-74,77833,48477,TX,17,12
Female,White,65-74,77834,48477,TX,16,7
Female,White,65-74,77835,48477,TX,17,7
Female,White,65-74,77836,48051,TX,19,12
Female,White,65-74,77837,48395,TX,19,12
Female,White,65-74,77838,48051,TX,15,7
Female,White,65-74,77840,48041,TX,15,8
Female,White,65-74,77841,48041,TX,13,8
Female,White,65-74,77842,48041,TX,10,8
Female,White,65-74,77843,48041,TX,21,14
Female,White,65-74,77844,48041,TX,26,15
Female,White,65-74,77845,48041,TX,17,8
Female,White,65-74,77850,48289,TX,22,7
Female,White,65-74,77852,48051,TX,22,15
Female,White,65-74,77853,48287,TX,19,12
Female,White,65-74,77855,48289,TX,13,7
Female,White,65-74,77856,48395,TX,20,9
Female,White,65-74,77857,48331,TX,12,8
Female,White,75+,77830,48185,TX,20,16
Female,White,75+,77831,48185,TX,17,11
Female,White,75+,77833,48477,TX,13,6
Female,White,75+,77834,48477,TX,17,8
Female,White,75+,77835,48477,TX,24,14
Female,White,75+,77836,48051,TX,25,14
Female,White,75+,77837,48395,TX,18,9
Female,White,75+,77838,48051,TX,14,5
Female,White,75+,77840,48041,TX,10,8
Female,White,75+,77841,48041,TX,16,10
Female,White,75+,77842,48041,TX,13,8
Female,White,75+,77843,48041,TX,11,9
Female,White,75+,77844,48041,TX,15,10
Female,White,75+,77845,48041,TX,15,7
Female,White,75+,77850,48289,TX,23,5
Female,White,75+,77852,48051,TX,13,9
Female,White,75+,77853,48287,TX,13,7
Female,White,75+,77855,48289,TX,13,10
Female,White,75+,77856,48395,TX,17,11
Female,White,75+,77857,48331,TX,19,12
Male,Black,0-17,77830,48185,TX,16,15
Male,Black,0-17,77831,48185,TX,16,12
Male,Black,0-17,77833,48477,TX,15,6
Male,Black,0-17,77834,48477,TX,13,5
Male,Black,0-17,77835,48477,TX,11,7
Male,Black,0-17,77836,48051,TX,17,10
Male,Black,0-17,77837,48395,TX,14,10
Male,Black,0-17,77838,48051,TX,13,4
Male,Black,0-17,77840,48041,TX,14,7
Male,Black,0-17,77841,48041,TX,18,12
Male,Black,0-17,77842,48041,TX,19,12
Male,Black,0-17,77843,48041,TX,22,16
Male,Black,0-17,77844,48041,TX,11,7
Male,Black,0-17,77845,48041,TX,12,5
Male,Black,0-17,77850,48289,TX,10,6
Male,Black,0-17,77852,48051,TX,22,18
Male,Black,0-17,77853,48287,TX,13,10
Male,Black,0-17,77855,48289,TX,18,13
Male,Black,0-17,77856,48395,TX,16,10
Male,Black,0-17,77857,48331,TX,21,12
Male,Black,18-34,77830,48185,TX,11,10
Male,Black,18-34,77831,48185,TX,19,15
Male,Black,18-34,77833,48477,TX,12,9
Male,Black,18-34,77834,48477,TX,11,3
Male,Black,18-34,77835,48477,TX,23,13
Male,Black,18-34,77836,48051,TX,12,4
Male,Black,18-34,77837,48395,TX,18,12
Male,Black,18-34,77838,48051,TX,14,4
Male,Black,18-34,77840,48041,TX,22,8
Male,Black,18-34,77841,48041,TX,23,13
Male,Black,18-34,77842,48041,TX,18,11
Male,Black,18-34,77843,48041,TX,21,16
Male,Black,18-34,77844,48041,TX,16,8
Male,Black,18-34,77845,48041,TX,12,5
Male,Black,18-34,77850,48289,TX,15,6
Male,Black,18-34,77852,48051,TX,13,10
Male,Black,18-34,77853,48287,TX,15,10
Male,Black,18-34,77855,48289,TX,15,6
Male,Black,18-34,77856,48395,TX,16,9
Male,Black,18-34,77857,48331,TX,13,9
Male,Black,35-64,77830,48185,TX,17,16
Male,Black,35-64,77831,48185,TX,19,14
Male,Black,35-64,77833,48477,TX,13,10
Male,Black,35-64,77834,48477,TX,21,11
Male,Black,35-64,77835,48477,TX,17,11
Male,Black,35-64,77836,48051,TX,17,13
Male,Black,35-64,77837,48395,TX,21,18
Male,Black,35-64,77838,48051,TX,14,9
Male,Black,35-64,77840,48041,TX,25,17
Male,Black,35-64,77841,48041,TX,14,8
Male,Black,35-64,77842,48041,TX,20,16
Male,Black,35-64,77843,48041,TX,21,18
Male,Black,35-64,77844,48041,TX,18,13
Male,Black,35-64,77845,48041,TX,18,16
Male,Black,35-64,77850,48289,TX,12,8
Male,Black,35-64,77852,48051,TX,17,15
Male,Black,35-64,77853,48287,TX,14,8
Male,Black,35-64,77855,48289,TX,21,17
Male,Black,35-64,77856,48395,TX,20,15
Male,Black,35-64,77857,48331,TX,13,10
Male,Black,65-74,77830,48185,TX,18,13
Male,Black,65-74,77831,48185,TX,14,8
Male,Black,65-74,77833,48477,TX,11,8
Male,Black,65-74,77834,48477,TX,13,6
Male,Black,65-74,77835,48477,TX,18,5
Male,Black,65-74,77836,48051,TX,11,7
Male,Black,65-74,77837,48395,TX,20,16
Male,Black,65-74,77838,48051,TX,18,7
Male,Black,65-74,77840,48041,TX,21,9
Male,Black,65-74,77841,48041,TX,14,10
Male,Black,65-74,77842,48041,TX,12,10
Male,Black,65-74,77843,48041,TX,12,7
Male,Black,65-74,77844,48041,TX,24,11
Male,Black,65-74,77845,48041,TX,19,4
Male,Black,65-74,77850,48289,TX,26,14
Male,Black,65-74,77852,48051,TX,17,12
Male,Black,65-74,77853,48287,TX,20,14
Male,Black,65-74,77855,48289,TX,15,11
Male,Black,65-74,77856,48395,TX,17,7
Male,Black,65-74,77857,48331,TX,17,9
Male,Black,75+,77830,48185,TX,19,15
Male,Black,75+,77831,48185,TX,14,9
Male,Black,75+,77833,48477,TX,21,12
Male,Black,75+,77834,48477,TX,22,9
Male,Black,75+,77835,48477,TX,17,10
Male,Black,75+,77836,48051,TX,14,13
Male,Black,75+,77837,48395,TX,28,19
Male,Black,75+,77838,48051,TX,11,4
Male,Black,75+,77840,48041,TX,15,7
Male,Black,75+,77841,48041,TX,18,11
Male,Black,75+,77842,48041,TX,18,13
Male,Black,75+,77843,48041,TX,14,9
Male,Black,75+,77844,48041,TX,17,7
Male,Black,75+,77845,48041,TX,18,9
Male,Black,75+,77850,48289,TX,14,3
Male,Black,75+,77852,48051,TX,16,10
Male,Black,75+,77853,48287,TX,16,11
Male,Black,75+,77855,48289,TX,19,14
Male,Black,75+,77856,48395,TX,22,13
Male,Black,75+,77857,48331,TX,16,15
Male,Other,0-17,77830,48185,TX,18,15
Male,Other,0-17,77831,48185,TX,8,4
Male,Other,0-17,77833,48477,TX,8,4
Male,Other,0-17,77834,48477,TX,14,5
Male,Other,0-17,77835,48477,TX,19,11
Male,Other,0-17,77836,48051,TX,24,12
Male,Other,0-17,77837,48395,TX,20,12
Male,Other,0-17,77838,48051,TX,16,7
Male,Other,0-17,77840,48041,TX,14,5
Male,Other,0-17,77841,48041,TX,22,12
Male,Other,0-17,77842,48041,TX,15,10
Male,Other,0-17,77843,48041,TX,19,15
Male,Other,0-17,77844,48041,TX,23,11
Male,Other,0-17,77845,48041,TX,17,7
Male,Other,0-17,77850,48289,TX,15,8
Male,Other,0-17,77852,48051,TX,14,8
Male,Other,0-17,77853,48287,TX,16,11
Male,Other,0-17,77855,48289,TX,22,12
Male,Other,0-17,77856,48395,TX,16,8
Male,Other,0-17,77857,48331,TX,15,11
Male,Other,18-34,77830,48185,TX,17,15
Male,Other,18-34,77831,48185,TX,14,9
Male,Other,18-34,77833,48477,TX,9,4
Male,Other,18-34,77834,48477,TX,22,12
Male,Other,18-34,77835,48477,TX,23,12
Male,Other,18-34,77836,48051,TX,18,7
Male,Other,18-34,77837,48395,TX,10,7
Male,Other,18-34,77838,48051,TX,20,8
Male,Other,18-34,77840,48041,TX,16,13
Male,Other,18-34,77841,48041,TX,14,10
Male,Other,18-34,77842,48041,TX,17,8
Male,Other,18-34,77843,48041,TX,17,9
Male,Other,18-34,77844,48041,TX,16,8
Male,Other,18-34,77845,48041,TX,22,12
Male,Other,18-34,77850,48289,TX,23,10
Male,Other,18-34,77852,48051,TX,14,6
Male,Other,18-34,77853,48287,TX,15,12
Male,Other,18-34,77855,48289,TX,13,8
Male,Other,18-34,77856,48395,TX,16,6
Male,Other,18-34,77857,48331,TX,13,10
Male,Other,35-64,77830,48185,TX,14,14
Male,Other,35-64,77831,48185,TX,19,15
Male,Other,35-64,77833,48477,TX,17,14
Male,Other,35-64,77834,48477,TX,17,11
Male,Other,35-64,77835,48477,TX,18,10
Male,Other,35-64,77836,48051,TX,8,5
Male,Other,35-64,77837,48395,TX,13,10
Male,Other,35-64,77838,48051,TX,23,17
Male,Other,35-64,77840,48041,TX,23,19
Male,Other,35-64,77841,48041,TX,19,14
Male,Other,35-64,77842,48041,TX,15,13
Male,Other,35-64,77843,48041,TX,15,12
Male,Other,35-64,77844,48041,TX,18,15
Male,Other,35-64,77845,48041,TX,13,9
Male,Other,35-64,77850,48289,TX,18,13
Male,Other,35-64,77852,48051,TX,21,16
Male,Other,35-64,77853,48287,TX,21,18
Male,Other,35-64,77855,48289,TX,10,8
Male,Other,35-64,77856,48395,TX,20,18
Male,Other,35-64,77857,48331,TX,19,16
Male,Other,65-74,77830,48185,TX,22,13
Male,Other,65-74,77831,48185,TX,17,12
Male,Other,65-74,77833,48477,TX,13,6
Male,Other,65-74,77834,48477,TX,24,14
Male,Other,65-74,77835,48477,TX,15,6
Male,Other,65-74,77836,48051,TX,10,8
Male,Other,65-74,77837,48395,TX,15,12
Male,Other,65-74,77838,48051,TX,16,4
Male,Other,65-74,77840,48041,TX,12,4
Male,Other,65-74,77841,48041,TX,22,14
Male,Other,65-74,77842,48041,TX,17,11
Male,Other,65-74,77843,48041,TX,14,10
Male,Other,65-74,77844,48041,TX,18,7
Male,Other,65-74,77845,48041,TX,19,12
Male,Other,65-74,77850,48289,TX,16,11
Male,Other,65-74,77852,48051,TX,15,12
Male,Other,65-74,77853,48287,TX,15,8
Male,Other,65-74,77855,48289,TX,19,11
Male,Other,65-74,77856,48395,TX,10,8
Male,Other,65-74,77857,48331,TX,16,10
Male,Other,75+,77830,48185,TX,10,8
Male,Other,75+,77831,48185,TX,22,19
Male,Other,75+,77833,48477,TX,16,12
Male,Other,75+,77834,48477,TX,14,7
Male,Other,75+,77835,48477,TX,20,10
Male,Other,75+,77836,48051,TX,27,13
Male,Other,75+,77837,48395,TX,22,17
Male,Other,75+,77838,48051,TX,18,7
Male,Other,75+,77840,48041,TX,21,10
Male,Other,75+,77841,48041,TX,11,7
Male,Other,75+,77842,48041,TX,22,16
Male,Other,75+,77843,48041,TX,17,12
Male,Other,75+,77844,48041,TX,15,10
Male,Other,75+,77845,48041,TX,18,9
Male,Other,75+,77850,48289,TX,21,5
Male,Other,75+,77852,48051,TX,19,14
Male,Other,75+,77853,48287,TX,11,7
Male,Other,75+,77855,48289,TX,23,11
Male,Other,75+,77856,48395,TX,12,9
Male,Other,75+,77857,48331,TX,11,8
Male,White,0-17,77830,48185,TX,17,14
Male,White,0-17,77831,48185,TX,15,10
Male,White,0-17,77833,48477,TX,17,14
Male,White,0-17,77834,48477,TX,16,10
Male,White,0-17,77835,48477,TX,12,8
Male,White,0-17,77836,48051,TX,12,9
Male,White,0-17,77837,48395,TX,23,17
Male,White,0-17,77838,48051,TX,18,10
Male,White,0-17,77840,48041,TX,23,11
Male,White,0-17,77841,48041,TX,11,7
Male,White,0-17,77842,48041,TX,22,15
Male,White,0-17,77843,48041,TX,17,12
Male,White,0-17,77844,48041,TX,17,9
Male,White,0-17,77845,48041,TX,19,8
Male,White,0-17,77850,48289,TX,9,5
Male,White,0-17,77852,48051,TX,18,14
Male,White,0-17,77853,48287,TX,14,11
Male,White,0-17,77855,48289,TX,27,14
Male,White,0-17,77856,48395,TX,12,6
Male,White,0-17,77857,48331,TX,13,12
Male,White,18-34,77830,48185,TX,13,12
Male,White,18-34,77831,48185,TX,15,12
Male,White,18-34,77833,48477,TX,25,18
Male,White,18-34,77834,48477,TX,9,3
Male,White,18-34,77835,48477,TX,11,7
Male,White,18-34,77836,48051,TX,22,14
Male,White,18-34,77837,48395,TX,18,11
Male,White,18-34,77838,48051,TX,11,6
Male,White,18-34,77840,48041,TX,19,12
Male,White,18-34,77841,48041,TX,18,15
Male,White,18-34,77842,48041,TX,11,8
Male,White,18-34,77843,48041,TX,21,15
Male,White,18-34,77844,48041,TX,18,10
Male,White,18-34,77845,48041,TX,19,8
Male,White,18-34,77850,48289,TX,21,11
Male,White,18-34,77852,48051,TX,19,15
Male,White,18-34,77853,48287,TX,15,12
Male,White,18-34,77855,48289,TX,12,7
Male,White,18-34,77856,48395,TX,13,12
Male,White,18-34,77857,48331,TX,19,14
Male,White,35-64,77830,48185,TX,18,16
Male,White,35-64,77831,48185,TX,22,18
Male,White,35-64,77833,48477,TX,22,19
Male,White,35-64,77834,48477,TX,14,11
Male,White,35-64,77835,48477,TX,19,16
Male,White,35-64,77836,48051,TX,13,12
Male,White,35-64,77837,48395,TX,17,14
Male,White,35-64,77838,48051,TX,19,15
Male,White,35-64,77840,48041,TX,13,9
Male,White,35-64,77841,48041,TX,14,10
Male,White,35-64,77842,48041,TX,21,18
Male,White,35-64,77843,48041,TX,12,11
Male,White,35-64,77844,48041,TX,14,13
Male,White,35-64,77845,48041,TX,23,18
Male,White,35-64,77850,48289,TX,18,12
Male,White,35-64,77852,48051,TX,11,11
Male,White,35-64,77853,48287,TX,18,17
Male,White,35-64,77855,48289,TX,17,16
Male,White,35-64,77856,48395,TX,16,15
Male,White,35-64,77857,48331,TX,11,11
Male,White,65-74,77830,48185,TX,33,32
Male,White,65-74,77831,48185,TX,14,11
Male,White,65-74,77833,48477,TX,17,12
Male,White,65-74,77834,48477,TX,22,14
Male,White,65-74,77835,48477,TX,16,10
Male,White,65-74,77836,48051,TX,21,15
Male,White,65-74,77837,48395,TX,24,18
Male,White,65-74,77838,48051,TX,15,9
Male,White,65-74,77840,48041,TX,18,9
Male,White,65-74,77841,48041,TX,20,12
Male,White,65-74,77842,48041,TX,24,17
Male,White,65-74,77843,48041,TX,20,17
Male,White,65-74,77844,48041,TX,19,10
Male,White,65-74,77845,48041,TX,11,7
Male,White,65-74,77850,48289,TX,21,16
Male,White,65-74,77852,48051,TX,17,13
Male,White,65-74,77853,48287,TX,22,19
Male,White,65-74,77855,48289,TX,12,9
Male,White,65-74,77856,48395,TX,24,19
Male,White,65-74,77857,48331,TX,16,11
Male,White,75+,77830,48185,TX,17,15
Male,White,75+,77831,48185,TX,20,14
Male,White,75+,77833,48477,TX,11,10
Male,White,75+,77834,48477,TX,22,12
Male,White,75+,77835,48477,TX,16,8
Male,White,75+,77836,48051,TX,21,17
Male,White,75+,77837,48395,TX,13,11
Male,White,75+,77838,48051,TX,18,10
Male,White,75+,77840,48041,TX,15,10
Male,White,75+,77841,48041,TX,14,9
Male,White,75+,77842,48041,TX,11,6
Male,White,75+,77843,48041,TX,23,18
Male,White,75+,77844,48041,TX,17,11
Male,White,75+,77845,48041,TX,24,17
Male,White,75+,77850,48289,TX,14,8
Male,White,75+,77852,48051,TX,20,14
Male,White,75+,77853,48287,TX,16,14
Male,White,75+,77855,48289,TX,14,9
Male,White,75+,77856,48395,TX,18,14
Male,White,75+,77857,48331,TX,19,13
