sex,race,age,zip,total,county,state
female,white,75+,07924,486,34035,nj
female,black,0-17,07924,0,34035,nj
female,black,18-34,07924,6,34035,nj
female,black,35-64,07924,47,34035,nj
female,black,65-74,07924,0,34035,nj
female,black,75+,07924,10,34035,nj
female,other,0-17,07924,157,34035,nj
female,other,18-34,07924,135,34035,nj
female,other,35-64,07924,233,34035,nj
female,other,65-74,07924,28,34035,nj
female,other,75+,07924,45,34035,nj
male,white,0-17,07926,679,34027,nj
male,white,18-34,07926,300,34027,nj
male,white,35-64,07926,1290,34027,nj
male,white,65-74,07926,281,34027,nj
male,white,75+,07926,80,34027,nj
male,black,0-17,07926,0,34027,nj
male,black,18-34,07926,0,34027,nj
male,black,35-64,07926,18,34027,nj
male,black,65-74,07926,0,34027,nj
male,black,75+,07926,0,34027,nj
male,other,0-17,07926,84,34027,nj
male,other,18-34,07926,59,34027,nj
male,other,35-64,07926,34,34027,nj
male,other,65-74,07926,14,34027,nj
male,other,75+,07926,0,34027,nj
female,white,0-17,07926,651,34027,nj
female,white,18-34,07926,372,34027,nj
female,white,35-64,07926,1241,34027,nj
female,white,65-74,07926,227,34027,nj
female,white,75+,07926,184,34027,nj
female,black,0-17,07926,0,34027,nj
female,black,18-34,07926,1,34027,nj
female,black,35-64,07926,38,34027,nj
female,black,65-74,07926,0,34027,nj
female,black,75+,07926,0,34027,nj
female,other,0-17,07926,49,34027,nj
female,other,18-34,07926,60,34027,nj
female,other,35-64,07926,76,34027,nj
female,other,65-74,07926,17,34027,nj
female,other,75+,07926,0,34027,nj
male,white,0-17,07927,714,34027,nj
male,white,18-34,07927,662,34027,nj
male,white,35-64,07927,1428,34027,nj
male,white,65-74,07927,492,34027,nj
male,white,75+,07927,275,34027,nj
male,black,0-17,07927,74,34027,nj
male,black,18-34,07927,44,34027,nj
male,black,35-64,07927,52,34027,nj
male,black,65-74,07927,11,34027,nj
male,black,75+,07927,0,34027,nj
male,other,0-17,07927,246,34027,nj
male,other,18-34,07927,108,34027,nj
male,other,35-64,07927,246,34027,nj
male,other,65-74,07927,24,34027,nj
male,other,75+,07927,34,34027,nj
female,white,0-17,07927,593,34027,nj
female,white,18-34,07927,725,34027,nj
female,white,35-64,07927,1452,34027,nj
female,white,65-74,07927,497,34027,nj
female,white,75+,07927,297,34027,nj
female,black,0-17,07927,49,34027,nj
female,black,18-34,07927,0,34027,nj
female,black,35-64,07927,64,34027,nj
female,black,65-74,07927,0,34027,nj
female,black,75+,07927,0,34027,nj
female,other,0-17,07927,127,34027,nj
female,other,18-34,07927,141,34027,nj
female,other,35-64,07927,295,34027,nj
female,other,65-74,07927,52,34027,nj
female,other,75+,07927,34,34027,nj
male,white,0-17,07928,2974,34027,nj
male,white,18-34,07928,1406,34027,nj
male,white,35-64,07928,4566,34027,nj
male,white,65-74,07928,922,34027,nj
male,white,75+,07928,668,34027,nj
male,black,0-17,07928,2,34027,nj
male,black,18-34,07928,40,34027,nj
male,black,35-64,07928,61,34027,nj
male,black,65-74,07928,13,34027,nj
male,black,75+,07928,6,34027,nj
male,other,0-17,07928,669,34027,nj
male,other,18-34,07928,182,34027,nj
male,other,35-64,07928,561,34027,nj
male,other,65-74,07928,47,34027,nj
male,other,75+,07928,49,34027,nj
female,white,0-17,07928,2883,34027,nj
female,white,18-34,07928,1210,34027,nj
female,white,35-64,07928,4910,34027,nj
female,white,65-74,07928,890,34027,nj
female,white,75+,07928,1012,34027,nj
female,black,0-17,07928,5,34027,nj
female,black,18-34,07928,68,34027,nj
female,black,35-64,07928,64,34027,nj
female,black,65-74,07928,6,34027,nj
female,black,75+,07928,0,34027,nj
female,other,0-17,07928,486,34027,nj
female,other,18-34,07928,194,34027,nj
female,other,35-64,07928,759,34027,nj
female,other,65-74,07928,60,34027,nj
female,other,75+,07928,6,34027,nj
