sex,race,age,time,date,zip,county,state,outcome
Female,Black,90,3,2020-01-13,61872,17019,IL,3.306559756359716
Male,Black,13,8,2020-02-17,61872,17019,IL,3.778711993842184
Male,White,72,7,2020-02-10,61873,17019,IL,6.158020736613107
Male,Black,53,10,2020-03-02,61873,17019,IL,3.444684732438423
Female,Other,6,8,2020-02-17,61874,17019,IL,4.248736912768543
Female,Black,28,5,2020-01-27,61873,17019,IL,5.678486447432458
Female,White,47,4,2020-01-20,61882,17039,IL,3.2171538571979714
Male,White,35,1,2019-12-30,61882,17039,IL,4.029552747752207
Male,White,54,1,2019-12-30,61875,17019,IL,6.081670465228938
Female,White,13,4,2020-01-20,61880,17019,IL,3.683101676149366
Male,Other,33,10,2020-03-02,61878,17019,IL,3.744527737170267
Female,Other,30,8,2020-02-17,61872,17019,IL,3.330469019035558
Female,Black,68,2,2020-01-06,61882,17039,IL,4.7781272444456695
Male,White,83,9,2020-02-24,61874,17019,IL,3.9721110789551344
Female,Black,30,6,2020-02-03,61878,17019,IL,3.8175132392941387
Female,Black,2,12,2020-03-16,61873,17019,IL,5.606986098599581
Male,White,69,10,2020-03-02,61878,17019,IL,5.790189331780078
Female,White,16,8,2020-02-17,61873,17019,IL,4.523039834042732
Female,Other,9,8,2020-02-17,61878,17019,IL,5.58622359174687
Female,White,17,11,2020-03-09,61871,17019,IL,5.0344423350264
Male,White,31,3,2020-01-13,61880,17019,IL,5.453530896472856
Female,Other,92,2,2020-01-06,61882,17039,IL,4.306080267088366
Female,Other,14,10,2020-03-02,61873,17019,IL,4.683552597914107
Female,White,5,2,2020-01-06,61875,17019,IL,3.032720702205717
Female,White,87,2,2020-01-06,61877,17019,IL,5.057919845557624
Male,Other,22,2,2020-01-06,61877,17019,IL,3.461585359974554
Female,Other,65,10,2020-03-02,61882,17039,IL,4.682861678539383
Male,White,11,4,2020-01-20,61876,17045,IL,4.178911722297044
Male,Other,5,7,2020-02-10,61878,17019,IL,5.5983859916156495
Female,Black,90,12,2020-03-16,61876,17045,IL,3.003833636633356
Male,White,96,4,2020-01-20,61877,17019,IL,4.619142037338097
Female,Other,72,4,2020-01-20,61880,17019,IL,6.912217422324586
Male,Other,65,4,2020-01-20,61874,17019,IL,6.416250474776461
Male,Other,52,9,2020-02-24,61877,17019,IL,3.176714173841273
Female,Black,18,7,2020-02-10,61874,17019,IL,3.873046113963689
Male,Other,79,11,2020-03-09,61878,17019,IL,6.4934578316669676
Male,White,79,2,2020-01-06,61878,17019,IL,4.257354177714997
Male,Black,51,8,2020-02-17,61878,17019,IL,4.529911555804954
Female,Other,92,2,2020-01-06,61872,17019,IL,3.635130496590315
Male,White,32,5,2020-01-27,61873,17019,IL,5.416356749492093
Male,Other,88,1,2019-12-30,61873,17019,IL,5.075047697537919
Female,White,76,12,2020-03-16,61871,17019,IL,4.369761704274653
Male,Black,0,5,2020-01-27,61872,17019,IL,4.742627936357617
Male,Other,77,11,2020-03-09,61876,17045,IL,5.853496444235647
Male,White,73,1,2019-12-30,61880,17019,IL,4.640482997332453
Female,Black,15,6,2020-02-03,61882,17039,IL,3.645141294956886
Male,White,59,9,2020-02-24,61873,17019,IL,2.1156059789463315
Female,White,18,10,2020-03-02,61873,17019,IL,2.544917232484066
Female,Other,66,10,2020-03-02,61876,17045,IL,5.235192708879183
Male,Other,28,7,2020-02-10,61871,17019,IL,5.037122135876873
Female,Black,26,3,2020-01-13,61875,17019,IL,6.536551133959437
Male,White,81,10,2020-03-02,61872,17019,IL,3.0892511127534736
Male,Other,47,4,2020-01-20,61880,17019,IL,2.757876499553819
Female,White,57,2,2020-01-06,61878,17019,IL,4.738619299994623
Male,Black,26,1,2019-12-30,61875,17019,IL,4.091611599977314
Female,Black,44,9,2020-02-24,61871,17019,IL,4.4725453204531265
Male,White,67,5,2020-01-27,61880,17019,IL,6.184783614374168
Female,Other,15,4,2020-01-20,61874,17019,IL,3.7884401676969537
Female,Other,58,10,2020-03-02,61876,17045,IL,5.142990787341374
Female,Black,22,5,2020-01-27,61874,17019,IL,2.20475492114467
Male,White,65,3,2020-01-13,61875,17019,IL,2.988367466591549
Female,Black,68,6,2020-02-03,61874,17019,IL,5.13149657546523
Female,Other,80,1,2019-12-30,61875,17019,IL,4.863546247203125
Male,White,95,11,2020-03-09,61871,17019,IL,5.119118991768876
Female,Black,96,9,2020-02-24,61878,17019,IL,4.910032164969912
Female,White,27,12,2020-03-16,61878,17019,IL,3.784836737599698
Female,Black,54,2,2020-01-06,61882,17039,IL,2.2318545919132564
Female,Other,3,11,2020-03-09,61880,17019,IL,4.325712802134583
Female,White,31,2,2020-01-06,61876,17045,IL,3.9646490786908415
Female,White,39,9,2020-02-24,61872,17019,IL,4.802540483051564
Male,Other,25,6,2020-02-03,61875,17019,IL,3.9975202464844735
Female,White,91,10,2020-03-02,61880,17019,IL,5.639551486804439
Male,White,81,4,2020-01-20,61876,17045,IL,3.3162519673233293
Female,Other,44,11,2020-03-09,61880,17019,IL,3.0416806454387872
Female,Black,46,6,2020-02-03,61872,17019,IL,3.038839291024669
Female,Other,82,8,2020-02-17,61882,17039,IL,4.912794311763481
Female,Black,98,7,2020-02-10,61875,17019,IL,3.678285036615626
Male,Black,48,1,2019-12-30,61875,17019,IL,3.8795556957725923
Female,Black,79,9,2020-02-24,61877,17019,IL,3.55026480286754
Male,White,26,2,2020-01-06,61877,17019,IL,3.201605180539067
Male,Other,88,11,2020-03-09,61871,17019,IL,5.232793038473079
Female,Other,8,7,2020-02-10,61877,17019,IL,2.715963417632942
Female,White,30,2,2020-01-06,61876,17045,IL,2.8571522588355824
Female,White,72,7,2020-02-10,61872,17019,IL,3.4601871735172365
Male,Other,8,8,2020-02-17,61872,17019,IL,4.481644936160582
Female,Black,27,8,2020-02-17,61873,17019,IL,2.764956297475805
Female,White,47,12,2020-03-16,61875,17019,IL,3.5404723253756867
Male,Black,1,12,2020-03-16,61882,17039,IL,2.2482219818691354
Male,Black,31,7,2020-02-10,61880,17019,IL,3.213332359286486
Male,Other,56,3,2020-01-13,61880,17019,IL,4.612515667766788
Female,Black,63,10,2020-03-02,61874,17019,IL,3.3253884239612606
Female,White,30,6,2020-02-03,61871,17019,IL,2.477343908057427
Female,White,100,4,2020-01-20,61878,17019,IL,6.126788230570453
Male,White,23,12,2020-03-16,61873,17019,IL,4.68602759979372
Female,Black,80,9,2020-02-24,61882,17039,IL,3.3839341973138026
Male,Other,66,2,2020-01-06,61880,17019,IL,5.018544551608645
Male,Other,31,1,2019-12-30,61875,17019,IL,3.1119123234110697
Female,Other,54,7,2020-02-10,61874,17019,IL,5.167214036425212
Male,Other,13,4,2020-01-20,61880,17019,IL,2.8770670815210737
Female,Other,13,3,2020-01-13,61871,17019,IL,4.36604334088655
Male,Other,68,3,2020-01-13,61874,17019,IL,5.775178219961675
Male,White,96,2,2020-01-06,61882,17039,IL,2.170836741005606
Female,Black,99,7,2020-02-10,61872,17019,IL,3.8856192278025805
Female,Other,31,5,2020-01-27,61876,17045,IL,4.636026759588196
Male,Black,99,7,2020-02-10,61877,17019,IL,2.3254073898004486
Male,Other,91,4,2020-01-20,61880,17019,IL,5.541890112879057
Female,Black,71,3,2020-01-13,61882,17039,IL,5.836934347925807
Female,Other,65,1,2019-12-30,61872,17019,IL,5.293915002896906
Female,Other,20,11,2020-03-09,61875,17019,IL,6.585332365345265
Female,Other,78,8,2020-02-17,61878,17019,IL,5.720618949502096
Male,Other,49,4,2020-01-20,61880,17019,IL,5.885532204713938
Male,White,30,3,2020-01-13,61882,17039,IL,4.076892258988219
Male,Other,10,4,2020-01-20,61872,17019,IL,6.413960017949544
Female,Black,13,7,2020-02-10,61875,17019,IL,4.18205419085882
Male,Black,32,1,2019-12-30,61882,17039,IL,3.80874894976712
Female,White,4,9,2020-02-24,61871,17019,IL,4.37392144594896
Male,Other,43,12,2020-03-16,61880,17019,IL,2.972779777978624
Male,White,65,7,2020-02-10,61875,17019,IL,5.438358892415198
Female,Black,0,12,2020-03-16,61875,17019,IL,4.474081082790652
Female,Other,28,2,2020-01-06,61876,17045,IL,2.565318985527969
Female,Black,74,9,2020-02-24,61871,17019,IL,8.49503948872984
Female,Black,92,7,2020-02-10,61877,17019,IL,1.4882096269112095
Female,Black,6,4,2020-01-20,61875,17019,IL,5.251284940824999
Male,White,82,3,2020-01-13,61873,17019,IL,3.5478379513093454
Female,Black,24,6,2020-02-03,61882,17039,IL,5.02033189256906
Female,Black,70,3,2020-01-13,61882,17039,IL,5.264927546335952
Female,White,76,4,2020-01-20,61873,17019,IL,3.410268741394713
Male,Black,98,2,2020-01-06,61876,17045,IL,2.7632630373572136
Female,Other,74,3,2020-01-13,61873,17019,IL,6.055480730587609
Male,Black,46,12,2020-03-16,61876,17045,IL,3.329739803473303
Male,Other,69,10,2020-03-02,61880,17019,IL,5.657561401641301
Male,White,72,1,2019-12-30,61877,17019,IL,7.189233458814969
Male,White,33,7,2020-02-10,61882,17039,IL,4.350893664878123
Female,Other,83,11,2020-03-09,61880,17019,IL,5.962981135404486
Female,Black,72,7,2020-02-10,61882,17039,IL,5.170153559125211
Female,Other,82,11,2020-03-09,61878,17019,IL,5.623200971298885
Female,Black,22,2,2020-01-06,61882,17039,IL,3.728012316736015
Female,Other,70,7,2020-02-10,61882,17039,IL,5.217071722216446
Female,Other,57,11,2020-03-09,61874,17019,IL,4.500450638634404
Female,Black,12,4,2020-01-20,61876,17045,IL,2.8194160845597476
Male,White,18,4,2020-01-20,61872,17019,IL,4.008092949995247
Female,Other,83,8,2020-02-17,61873,17019,IL,4.543098216448226
Male,Black,75,8,2020-02-17,61871,17019,IL,4.364555252533766
Female,White,67,4,2020-01-20,61877,17019,IL,6.118871540973689
Female,White,20,2,2020-01-06,61882,17039,IL,4.605142852635842
Male,White,85,4,2020-01-20,61874,17019,IL,3.5233674278708196
Male,Black,43,12,2020-03-16,61877,17019,IL,3.9645374633492283
Female,Black,3,11,2020-03-09,61877,17019,IL,2.485298993776004
Male,Black,5,12,2020-03-16,61871,17019,IL,2.9819852108069655
Female,Black,65,6,2020-02-03,61875,17019,IL,6.217573506755248
Male,White,44,4,2020-01-20,61873,17019,IL,4.721164460683956
Female,Other,66,2,2020-01-06,61872,17019,IL,5.913160485528461
Male,Other,62,6,2020-02-03,61877,17019,IL,3.7627369632824417
Female,White,33,6,2020-02-03,61872,17019,IL,2.6724860297541624
Male,White,82,2,2020-01-06,61880,17019,IL,3.297637599692873
Male,Other,22,5,2020-01-27,61880,17019,IL,4.5321616335859245
Female,Black,71,2,2020-01-06,61877,17019,IL,3.678423520629524
Male,White,39,8,2020-02-17,61875,17019,IL,4.457734320407433
Female,Black,50,7,2020-02-10,61874,17019,IL,4.346251464686153
Female,White,20,9,2020-02-24,61873,17019,IL,2.7935721493454677
Female,Black,42,6,2020-02-03,61872,17019,IL,2.385495601346563
Male,Other,0,2,2020-01-06,61871,17019,IL,4.616001725088108
Male,Other,31,6,2020-02-03,61877,17019,IL,2.1486862221695233
Male,Black,99,8,2020-02-17,61882,17039,IL,2.784486612868249
Male,White,60,7,2020-02-10,61875,17019,IL,3.5011776757360726
Male,Black,69,5,2020-01-27,61871,17019,IL,6.710781085560734
Male,Other,74,8,2020-02-17,61877,17019,IL,5.72360737421566
Male,Black,29,9,2020-02-24,61878,17019,IL,4.293806823444867
Female,White,74,8,2020-02-17,61882,17039,IL,6.475204606217794
Male,Black,49,10,2020-03-02,61878,17019,IL,5.6472758357873385
Male,Other,38,10,2020-03-02,61873,17019,IL,3.8560982722533117
Male,White,33,4,2020-01-20,61882,17039,IL,2.2142228548261125
Male,White,2,2,2020-01-06,61872,17019,IL,3.337663012267103
Female,White,72,6,2020-02-03,61873,17019,IL,5.953310447086008
Female,Black,28,8,2020-02-17,61873,17019,IL,4.971255758987124
Female,Other,72,2,2020-01-06,61878,17019,IL,7.750053433706388
Male,Black,90,12,2020-03-16,61880,17019,IL,1.9051496550970763
Female,White,34,5,2020-01-27,61875,17019,IL,4.946383035692151
Female,White,74,10,2020-03-02,61882,17039,IL,4.83140632507389
Male,Black,72,9,2020-02-24,61871,17019,IL,7.435599922184338
Female,Other,26,10,2020-03-02,61873,17019,IL,4.985319383582616
Male,Black,15,2,2020-01-06,61874,17019,IL,4.988239300238795
Male,White,55,9,2020-02-24,61876,17045,IL,2.6574092937958174
Male,Other,74,5,2020-01-27,61877,17019,IL,6.527993211879149
Female,Other,12,9,2020-02-24,61875,17019,IL,5.26490740079097
Female,White,86,12,2020-03-16,61876,17045,IL,2.0480765614101317
Male,White,52,9,2020-02-24,61882,17039,IL,4.230661208131304
Male,Black,65,10,2020-03-02,61878,17019,IL,6.75925278815147
Male,Black,71,10,2020-03-02,61871,17019,IL,4.744631848841312
Male,Black,4,5,2020-01-27,61875,17019,IL,6.4647554713482815
Male,White,6,10,2020-03-02,61873,17019,IL,3.198340551437597
Female,White,43,1,2019-12-30,61880,17019,IL,3.789338887952065
Male,Other,18,4,2020-01-20,61880,17019,IL,3.7549151815732795
Male,Black,23,9,2020-02-24,61875,17019,IL,6.2098487972003324
Female,White,7,12,2020-03-16,61875,17019,IL,5.0087528418280876
Male,Other,18,2,2020-01-06,61873,17019,IL,2.294043002185617
Male,Other,58,9,2020-02-24,61877,17019,IL,3.6825639775669994
Male,Other,84,3,2020-01-13,61880,17019,IL,4.975945826575737
Female,Other,64,11,2020-03-09,61878,17019,IL,5.98180316656214
Female,White,33,9,2020-02-24,61875,17019,IL,3.080154251277123
Male,White,18,4,2020-01-20,61876,17045,IL,4.151653205693244
Male,Other,70,7,2020-02-10,61875,17019,IL,5.3500193906110125
Female,Black,71,9,2020-02-24,61880,17019,IL,4.511520572079246
Female,White,96,4,2020-01-20,61882,17039,IL,3.6767590159897363
Female,White,95,12,2020-03-16,61880,17019,IL,2.4183812826001616
Male,Black,73,4,2020-01-20,61873,17019,IL,4.960180414259265
Female,Other,99,10,2020-03-02,61876,17045,IL,3.4338515799668556
Male,Other,65,4,2020-01-20,61872,17019,IL,4.435062729044496
Female,Black,71,8,2020-02-17,61882,17039,IL,5.462401865240676
Female,Other,13,9,2020-02-24,61871,17019,IL,3.5908134725122522
Male,Other,51,9,2020-02-24,61880,17019,IL,5.063253636962774
Male,White,12,5,2020-01-27,61874,17019,IL,5.035178190574845
Male,White,30,4,2020-01-20,61875,17019,IL,6.586705914078544
Female,Other,4,8,2020-02-17,61872,17019,IL,3.5827273743857013
Female,Other,25,2,2020-01-06,61873,17019,IL,3.441444497750873
Male,Other,58,7,2020-02-10,61873,17019,IL,4.767900202653691
Female,White,74,4,2020-01-20,61872,17019,IL,6.807077626527281
Male,Black,85,2,2020-01-06,61876,17045,IL,2.744615701318085
Female,White,6,1,2019-12-30,61876,17045,IL,1.051475395297924
Female,Other,20,11,2020-03-09,61882,17039,IL,2.4624491811602125
Female,Black,67,3,2020-01-13,61874,17019,IL,5.335468144008236
Male,Other,55,10,2020-03-02,61878,17019,IL,5.093258060684304
Female,White,1,8,2020-02-17,61874,17019,IL,3.8273275668940396
Male,Black,18,11,2020-03-09,61880,17019,IL,4.079286961467966
Female,White,46,4,2020-01-20,61874,17019,IL,3.4703206081777123
Male,Other,17,3,2020-01-13,61877,17019,IL,2.627781537198877
Female,White,33,3,2020-01-13,61874,17019,IL,4.292093668472446
Male,White,72,2,2020-01-06,61876,17045,IL,5.520141863465254
Male,Other,24,12,2020-03-16,61874,17019,IL,3.5255471413698336
Female,Black,92,7,2020-02-10,61874,17019,IL,4.90249796009435
Male,White,18,6,2020-02-03,61882,17039,IL,2.9372012981153692
Female,White,28,6,2020-02-03,61871,17019,IL,3.951144263082583
Female,White,24,3,2020-01-13,61871,17019,IL,5.1040389216569295
Male,Black,46,7,2020-02-10,61875,17019,IL,2.04951837243332
Male,White,12,9,2020-02-24,61880,17019,IL,3.0798537674890216
Male,White,43,4,2020-01-20,61875,17019,IL,4.599414188368269
Female,Other,98,6,2020-02-03,61882,17039,IL,3.6761452351279194
Male,Black,39,12,2020-03-16,61872,17019,IL,4.588592607163409
Male,Other,28,4,2020-01-20,61871,17019,IL,4.069913117433189
Male,Black,51,8,2020-02-17,61878,17019,IL,4.264481894619119
Female,Other,67,11,2020-03-09,61873,17019,IL,6.898788193936959
Female,Black,14,9,2020-02-24,61871,17019,IL,4.166190550839663
Female,Black,43,11,2020-03-09,61875,17019,IL,4.359293196037592
Female,White,57,12,2020-03-16,61871,17019,IL,3.5950610104533
Male,White,66,7,2020-02-10,61882,17039,IL,5.267987533009221
Male,Black,53,2,2020-01-06,61875,17019,IL,4.958633105521242
Female,Other,95,9,2020-02-24,61875,17019,IL,6.160208814547837
Male,Other,6,4,2020-01-20,61871,17019,IL,5.239293504339672
Male,White,33,3,2020-01-13,61880,17019,IL,3.5803244836337353
Female,White,17,6,2020-02-03,61882,17039,IL,3.7283553911353797
Male,Black,37,1,2019-12-30,61872,17019,IL,2.0939533773394765
Male,White,31,12,2020-03-16,61880,17019,IL,4.578074238246262
Male,White,2,8,2020-02-17,61877,17019,IL,4.887450977995048
Female,Black,36,10,2020-03-02,61875,17019,IL,0.9091243713330885
Female,White,70,8,2020-02-17,61873,17019,IL,4.905639848852434
Male,Black,66,11,2020-03-09,61882,17039,IL,5.383372756091182
Male,White,40,10,2020-03-02,61871,17019,IL,5.13235754853109
Male,Black,55,3,2020-01-13,61882,17039,IL,2.4106110863755217
Male,White,43,3,2020-01-13,61882,17039,IL,1.9651952440058662
Female,White,67,12,2020-03-16,61878,17019,IL,7.188444851075981
Female,Black,25,11,2020-03-09,61880,17019,IL,4.32465055232518
Female,Other,9,6,2020-02-03,61872,17019,IL,4.992283862982623
Female,Black,11,3,2020-01-13,61871,17019,IL,4.101039027373369
Male,Black,87,4,2020-01-20,61880,17019,IL,3.2744800403310643
Male,Other,71,2,2020-01-06,61874,17019,IL,7.929417956462489
Female,Other,79,8,2020-02-17,61874,17019,IL,6.022103088561062
Male,Black,74,5,2020-01-27,61882,17039,IL,6.546597720763641
Female,Black,44,5,2020-01-27,61871,17019,IL,5.1306511056380435
Female,Black,56,4,2020-01-20,61872,17019,IL,3.716590661702274
Female,Black,74,3,2020-01-13,61877,17019,IL,4.441343228537035
Female,Other,30,1,2019-12-30,61880,17019,IL,4.00277534792894
Female,White,91,5,2020-01-27,61882,17039,IL,4.910256928787371
Male,White,48,7,2020-02-10,61876,17045,IL,2.3175069015237373
Male,Other,23,12,2020-03-16,61880,17019,IL,2.87013711749396
Male,White,65,6,2020-02-03,61875,17019,IL,4.935909902929754
Female,Other,71,3,2020-01-13,61872,17019,IL,8.443568906305561
Female,Other,63,11,2020-03-09,61876,17045,IL,4.396232284042888
Female,Black,36,1,2019-12-30,61877,17019,IL,4.363053727836936
Female,Black,80,6,2020-02-03,61882,17039,IL,3.580441282214432
Male,White,34,5,2020-01-27,61872,17019,IL,5.369442691718302
Female,White,12,3,2020-01-13,61871,17019,IL,4.519233556320597
Female,White,60,3,2020-01-13,61880,17019,IL,4.507367596017018
Male,White,74,6,2020-02-03,61874,17019,IL,6.132478055230841
Male,Other,7,5,2020-01-27,61873,17019,IL,5.819619189093851
Female,Black,98,4,2020-01-20,61882,17039,IL,4.450627552068073
Male,White,30,3,2020-01-13,61875,17019,IL,5.849528768190719
Male,White,1,12,2020-03-16,61878,17019,IL,3.9963364064224134
Female,Other,100,6,2020-02-03,61880,17019,IL,4.648243606321499
Male,White,71,9,2020-02-24,61875,17019,IL,6.327284209149028
Female,Other,2,1,2019-12-30,61876,17045,IL,5.438214919375519
Female,White,16,1,2019-12-30,61882,17039,IL,3.299730788020346
Male,Other,65,2,2020-01-06,61873,17019,IL,5.6454064363659064
Female,Black,28,5,2020-01-27,61873,17019,IL,3.8504589881362254
Female,White,35,5,2020-01-27,61878,17019,IL,5.307247631939361
Female,Other,99,12,2020-03-16,61882,17039,IL,4.411255213553882
Male,White,23,9,2020-02-24,61878,17019,IL,4.228470287274117
Male,White,84,5,2020-01-27,61880,17019,IL,3.0505225856990954
Male,White,12,7,2020-02-10,61871,17019,IL,3.576982590752077
Female,Other,67,3,2020-01-13,61873,17019,IL,7.248400110199612
Female,White,69,6,2020-02-03,61872,17019,IL,5.116022323544639
Male,White,35,2,2020-01-06,61871,17019,IL,4.3753641752606445
