zip,sex,race,age,county,state,outcome
24062,female,white,18-34,51121,51,4.009817997783563
24062,male,white,0-17,51121,51,7.957011379453019
24062,female,black,35-64,51121,51,9.08635458695488
24062,female,black,75+,51121,51,6.869441037685162
24062,male,other,0-17,51121,51,6.213094788475848
24062,female,other,18-34,51121,51,4.448152437442773
24062,female,other,18-34,51121,51,5.996680312312268
24062,male,black,35-64,51121,51,6.591584492002835
24062,male,other,75+,51121,51,6.901222108161864
24062,female,white,0-17,51121,51,6.877175431774072
24062,female,white,65-74,51121,51,5.196432760855901
24062,male,other,75+,51121,51,7.035723401900943
24062,male,white,0-17,51121,51,4.139128025939678
24062,female,black,0-17,51121,51,8.11178955521455
24062,female,other,35-64,51121,51,9.283358146869102
24062,male,black,35-64,51121,51,5.362302488306868
24062,male,other,65-74,51121,51,4.151731436832182
24062,female,black,0-17,51121,51,6.191276714820395
24062,female,white,18-34,51121,51,6.008743372049349
24062,male,black,18-34,51121,51,4.139003601936675
24062,male,black,75+,51121,51,5.653664681183593
24062,male,other,65-74,51121,51,2.9353826273965136
24062,male,other,75+,51121,51,5.454741255890929
24062,female,other,75+,51121,51,8.64355546739237
24062,female,black,35-64,51121,51,7.615885771225948
24062,female,white,35-64,51121,51,10.46474283174555
24062,female,white,0-17,51121,51,8.607174092301143
24062,female,black,65-74,51121,51,3.960426304422303
24062,male,other,18-34,51121,51,4.321936761457365
24062,female,white,35-64,51121,51,9.951442522260136
24062,female,white,18-34,51121,51,6.618526967207995
24062,male,other,35-64,51121,51,8.36613008386362
24062,female,black,18-34,51121,51,3.848906311378867
24062,female,white,35-64,51121,51,9.280100356057687
24062,male,white,65-74,51121,51,3.2897628548378597
24062,female,black,75+,51121,51,6.250323056904568
24062,female,black,0-17,51121,51,7.787674950452392
24062,female,black,35-64,51121,51,7.515076182640351
24062,female,white,0-17,51121,51,10.550603522856374
24062,male,white,18-34,51121,51,3.46500470617975
24062,female,white,18-34,51121,51,5.9198416061758
24062,male,white,18-34,51121,51,1.139417862580562
24062,male,white,0-17,51121,51,6.6961218129224855
24062,female,black,65-74,51121,51,3.618531779046045
24062,male,other,35-64,51121,51,8.633506296339327
24062,male,black,0-17,51121,51,6.039564965608303
24062,male,other,18-34,51121,51,4.44834851573261
24062,male,other,0-17,51121,51,7.036921647222594
24062,male,black,65-74,51121,51,-0.15172982012836167
24062,female,white,18-34,51121,51,5.586025650069411
24062,female,black,65-74,51121,51,3.855057153330704
24062,male,black,75+,51121,51,5.050129899011106
24062,female,other,0-17,51121,51,7.5124244067748975
24062,female,black,65-74,51121,51,4.630828216844229
24062,female,black,75+,51121,51,9.020194858795346
24062,female,white,35-64,51121,51,8.365794923939882
24062,female,other,65-74,51121,51,5.902290101990112
24062,female,other,18-34,51121,51,6.079262285390398
24062,female,white,35-64,51121,51,9.688457378470131
24062,female,white,65-74,51121,51,5.5990950693960135
24062,female,white,35-64,51121,51,9.74117876319564
24062,female,black,35-64,51121,51,8.014793713134216
24062,female,black,75+,51121,51,6.184606105488711
24062,male,other,75+,51121,51,6.805426188334202
24062,male,white,65-74,51121,51,3.60377119630548
24062,male,white,35-64,51121,51,6.372174857210727
24062,female,other,35-64,51121,51,9.481818672602143
24062,female,black,65-74,51121,51,6.245646329822809
24062,female,white,35-64,51121,51,7.975061689641886
24062,male,other,18-34,51121,51,3.42860695004203
24062,male,black,65-74,51121,51,-0.5838330171974142
24062,female,black,65-74,51121,51,2.3733375277412785
24062,male,black,0-17,51121,51,5.801878228103707
24062,male,white,75+,51121,51,6.185251856067719
24062,female,white,75+,51121,51,8.193274210068036
24062,female,white,18-34,51121,51,5.693271726749499
24062,male,black,18-34,51121,51,1.700842219797872
24062,female,white,65-74,51121,51,6.399078114585215
24062,female,black,75+,51121,51,8.474750706290605
24062,female,black,75+,51121,51,7.046196205053828
24062,male,black,18-34,51121,51,3.159038653247581
24062,male,other,35-64,51121,51,6.74846444837984
24062,male,black,75+,51121,51,5.221043280135754
24062,male,other,35-64,51121,51,5.739844503556533
24062,male,other,18-34,51121,51,2.8866221084563453
24062,male,white,75+,51121,51,4.538314599578413
24062,male,white,0-17,51121,51,8.406740917050314
24062,female,black,35-64,51121,51,8.63154401186331
24062,male,other,18-34,51121,51,2.658711526691216
24062,male,black,18-34,51121,51,4.739258057724749
24062,male,white,18-34,51121,51,3.205459485299831
24062,female,black,35-64,51121,51,8.472129813525342
24062,male,other,35-64,51121,51,7.785937018830462
24062,female,white,75+,51121,51,7.526637095045643
24062,male,white,65-74,51121,51,3.2517401908365033
24062,female,white,75+,51121,51,9.20935437331262
24062,female,other,0-17,51121,51,8.407323297814035
24062,male,white,0-17,51121,51,5.985595975173076
24062,female,white,0-17,51121,51,8.689891243325887
24062,female,black,75+,51121,51,7.859433847508391
24062,female,white,0-17,51121,51,8.415428122854589
24062,male,other,0-17,51121,51,6.886174406990873
24062,female,other,18-34,51121,51,7.041389667536039
24062,male,black,35-64,51121,51,4.5417660201222105
24062,male,other,75+,51121,51,7.314224838454636
24062,male,white,75+,51121,51,6.6029903879084975
24062,male,black,0-17,51121,51,5.750000676930134
24062,female,white,0-17,51121,51,7.535652951662599
24062,female,black,65-74,51121,51,6.328932393029634
24062,male,other,18-34,51121,51,3.9202926954806254
24062,female,other,65-74,51121,51,4.1866258329896215
24062,male,white,0-17,51121,51,5.026793600290302
24062,male,black,0-17,51121,51,5.104478008429619
24062,female,black,0-17,51121,51,6.70603756014156
24062,female,black,35-64,51121,51,8.811746322546327
24062,male,black,0-17,51121,51,5.191827747195102
24062,female,white,75+,51121,51,9.632132933723176
24062,male,white,0-17,51121,51,6.437040266714329
24062,male,black,35-64,51121,51,4.972719490166386
24062,female,black,18-34,51121,51,4.746856176535195
24062,female,other,0-17,51121,51,10.98976123023283
24062,male,black,75+,51121,51,3.575032788098154
24062,male,black,18-34,51121,51,3.479019761496886
24062,female,white,65-74,51121,51,4.52797328869577
24062,female,black,18-34,51121,51,4.579371052077693
24062,male,other,65-74,51121,51,3.950955298389311
24062,male,black,0-17,51121,51,7.195812265784858
24062,male,other,75+,51121,51,5.05487542751032
24062,female,black,18-34,51121,51,5.27577680831075
24062,female,white,65-74,51121,51,5.276571669405694
24062,female,other,65-74,51121,51,4.776807999099278
24062,male,white,35-64,51121,51,6.7020527385251585
24062,female,black,35-64,51121,51,9.266113084234478
24062,male,white,75+,51121,51,6.080866297990601
24062,male,black,18-34,51121,51,3.2327060398888747
24062,female,black,75+,51121,51,8.223191671455359
24062,male,black,0-17,51121,51,2.5441993696238607
24062,male,black,18-34,51121,51,2.095397039703745
24062,female,white,65-74,51121,51,5.540473282734864
24062,female,black,35-64,51121,51,7.727629576618277
24062,female,other,0-17,51121,51,9.01245664737731
24062,female,other,35-64,51121,51,8.607876100450216
24062,female,other,0-17,51121,51,9.893132424717434
24062,female,other,75+,51121,51,6.980340309845272
24062,male,white,0-17,51121,51,6.162247188812903
24062,male,other,75+,51121,51,7.3125909867197825
24062,female,white,75+,51121,51,7.785769629218469
24062,female,white,75+,51121,51,10.396413884544035
24062,male,black,75+,51121,51,6.112215291605473
24062,female,black,65-74,51121,51,3.6132083858123623
24062,male,black,65-74,51121,51,0.8792708072995553
24062,female,white,35-64,51121,51,10.539085161701662
24062,female,black,18-34,51121,51,7.231722969881153
24062,male,black,35-64,51121,51,6.337239469575351
24062,male,other,18-34,51121,51,3.209455678443261
24062,female,black,75+,51121,51,8.607392100585598
24062,male,white,65-74,51121,51,2.4480117256246463
24062,female,black,65-74,51121,51,5.206502661688587
24062,male,other,75+,51121,51,7.1342571852802585
24062,male,white,75+,51121,51,4.326783968720947
24062,female,other,18-34,51121,51,6.751727991188505
24062,female,white,75+,51121,51,8.580620535851905
24062,female,black,18-34,51121,51,5.2738224371682545
24062,male,white,0-17,51121,51,5.772101153090741
24062,male,black,18-34,51121,51,2.04415245491878
24062,female,white,65-74,51121,51,6.19681622853399
24062,female,other,75+,51121,51,6.818744953193195
24062,female,black,75+,51121,51,6.681635948305215
24062,male,white,75+,51121,51,3.110053751578774
24062,female,other,75+,51121,51,5.299450008025321
24062,male,other,18-34,51121,51,3.450608743822044
24062,male,other,35-64,51121,51,7.864813188490838
24062,female,white,65-74,51121,51,4.2463617880307
24062,female,white,18-34,51121,51,6.0360817357656265
24062,male,other,65-74,51121,51,0.937953625263793
24062,male,black,18-34,51121,51,1.9043812457660696
24062,male,white,35-64,51121,51,7.781614836857119
24062,male,other,0-17,51121,51,6.701279422668672
24062,female,black,75+,51121,51,7.871901432526875
24062,male,black,18-34,51121,51,3.4039421251953415
24062,male,black,18-34,51121,51,2.1243804472874213
24062,male,white,65-74,51121,51,2.2657903744647
24062,female,white,65-74,51121,51,7.499658191794731
24062,male,other,65-74,51121,51,3.3385145593928356
24062,female,other,35-64,51121,51,9.291974379486772
24062,female,other,65-74,51121,51,5.872772315105667
24062,male,other,0-17,51121,51,5.80212009775722
24062,female,black,65-74,51121,51,3.611677189290351
24062,female,white,35-64,51121,51,7.0955630166118855
24062,female,other,65-74,51121,51,6.103549671383029
24062,female,black,35-64,51121,51,7.394221677843447
24062,male,black,75+,51121,51,4.501225447578449
24062,male,white,0-17,51121,51,5.063513077941059
24062,female,other,35-64,51121,51,9.25373402980742
24062,female,other,35-64,51121,51,10.037085135882933
24062,female,other,35-64,51121,51,10.729491642238536
24062,female,white,35-64,51121,51,9.622558075677004
24062,female,black,18-34,51121,51,5.60223082248897
24062,male,other,75+,51121,51,6.8333631251197575
24062,female,white,75+,51121,51,7.643853583056091
24062,male,black,18-34,51121,51,1.6334952253710346
24062,male,other,35-64,51121,51,6.138376886113977
24062,female,black,35-64,51121,51,9.518029711593009
24062,female,black,65-74,51121,51,3.550887437491032
24062,male,other,35-64,51121,51,6.644018893996695
24062,female,white,0-17,51121,51,7.360405786618296
24062,male,white,35-64,51121,51,6.937285809469209
24062,male,white,35-64,51121,51,7.2589602937445505
24062,female,black,0-17,51121,51,7.084061036174941
24062,male,white,65-74,51121,51,1.4851088977625555
24062,female,white,65-74,51121,51,6.644037287488649
24062,male,black,75+,51121,51,5.409360540499007
24062,male,other,0-17,51121,51,5.4113182198429595
24062,female,black,65-74,51121,51,4.849480819112594
24062,male,white,65-74,51121,51,3.0489611948090736
24062,male,other,18-34,51121,51,3.4552076883208738
24062,female,other,18-34,51121,51,6.4323047197828975
24062,female,other,75+,51121,51,11.20484528836696
24062,female,white,75+,51121,51,6.856526649397981
24062,male,black,0-17,51121,51,4.653557636195747
24062,female,black,35-64,51121,51,9.301391312265713
24062,female,other,65-74,51121,51,5.107017378813978
24062,female,white,35-64,51121,51,10.689041152690264
24062,male,white,75+,51121,51,5.599366682874042
24062,male,black,75+,51121,51,6.1903633965840825
24062,male,other,35-64,51121,51,6.458723961081941
24062,male,white,18-34,51121,51,5.425989055604696
24062,female,other,18-34,51121,51,5.475571233915652
24062,male,black,18-34,51121,51,1.5191080362015517
24062,male,white,18-34,51121,51,3.213456944723478
24062,male,other,75+,51121,51,5.492276563886901
24062,male,other,65-74,51121,51,3.4544985227441396
24062,male,other,0-17,51121,51,6.511083324007481
24062,male,white,35-64,51121,51,7.155232679955092
24062,male,black,75+,51121,51,4.274761632018977
24062,female,other,0-17,51121,51,6.543008706055433
24062,male,black,65-74,51121,51,0.07306464376179189
24062,female,other,75+,51121,51,7.64757485458702
24062,female,white,18-34,51121,51,5.515573185189297
24062,male,black,75+,51121,51,4.876104983248348
24062,female,black,0-17,51121,51,7.795039435574813
24062,male,other,75+,51121,51,6.670542947066883
24062,male,white,35-64,51121,51,6.772146182916733
24062,male,other,0-17,51121,51,6.457793668291866
24062,male,other,75+,51121,51,7.188163003842562
24062,female,other,65-74,51121,51,5.2460137214470235
24062,female,other,0-17,51121,51,7.628713871907496
24062,female,white,18-34,51121,51,6.075085468191229
24062,female,other,18-34,51121,51,6.842951682144124
24062,female,other,0-17,51121,51,8.99607823377709
24062,female,other,0-17,51121,51,8.87795831454253
24062,female,black,18-34,51121,51,4.475168576289799
24062,female,white,0-17,51121,51,8.476494575786479
24062,male,other,0-17,51121,51,6.786768137327861
24062,male,black,0-17,51121,51,4.862852275975407
24062,male,other,0-17,51121,51,6.160889280378922
24062,female,black,65-74,51121,51,4.7250973650778265
24062,male,other,35-64,51121,51,6.128504042888467
24062,female,black,35-64,51121,51,8.905062169183392
24062,female,black,18-34,51121,51,7.112372911433246
24062,male,white,75+,51121,51,5.2816311326518495
24062,male,white,18-34,51121,51,4.656726718051934
24062,male,white,0-17,51121,51,6.060466903428879
24062,female,white,75+,51121,51,9.044151431034418
24062,female,black,0-17,51121,51,7.107858248937831
24062,male,white,35-64,51121,51,5.98393019859394
24062,female,white,35-64,51121,51,8.38274346527269
24062,female,black,75+,51121,51,7.196319468171736
24062,female,other,0-17,51121,51,7.219743901642358
24062,male,other,0-17,51121,51,6.963064840411407
24062,female,other,75+,51121,51,9.144336551440285
24062,female,white,0-17,51121,51,9.52575887296373
24062,male,white,75+,51121,51,5.815359978857646
24062,male,black,65-74,51121,51,1.6676752911739832
24062,male,other,65-74,51121,51,3.777442109632675
24062,male,other,0-17,51121,51,8.55639718319802
24062,female,white,18-34,51121,51,5.78014187408782
24062,female,black,65-74,51121,51,3.3486905462048666
24062,female,other,0-17,51121,51,8.309392917297627
24062,female,black,65-74,51121,51,4.710064380317837
24062,male,white,35-64,51121,51,6.727469167474413
24062,male,white,65-74,51121,51,3.6171152065012064
24062,male,black,65-74,51121,51,1.0637650057814725
24062,male,other,35-64,51121,51,7.0632843607092815
24062,female,black,35-64,51121,51,7.918533394133055
24062,male,other,18-34,51121,51,3.5509026886446913
24062,female,white,65-74,51121,51,5.804021902219825
24062,male,other,35-64,51121,51,6.924951856442725
24062,female,black,0-17,51121,51,7.031890331641215
24062,female,other,65-74,51121,51,7.1560977087980655
24062,male,white,75+,51121,51,6.415356084604895
24062,male,white,65-74,51121,51,3.3494006276758093
24062,male,white,65-74,51121,51,4.000921514090274
24062,male,white,65-74,51121,51,2.8415738067691283
24062,female,white,65-74,51121,51,4.217909419885472
24062,male,white,18-34,51121,51,2.2201993129163973
24062,male,black,65-74,51121,51,1.9525770006961511
24062,female,black,65-74,51121,51,4.602422798112949
24062,male,white,75+,51121,51,8.32541981080216
24062,male,white,65-74,51121,51,4.088020581903578
24062,female,other,0-17,51121,51,7.490761566948293
24062,female,other,35-64,51121,51,9.405546358030112
24062,female,white,65-74,51121,51,6.502129387637478
24062,male,black,75+,51121,51,5.139838008868908
24062,female,white,0-17,51121,51,8.927292305644722
24062,male,other,65-74,51121,51,2.7357037039635625
24062,female,black,65-74,51121,51,3.699802616747287
24062,female,white,35-64,51121,51,7.681622517290082
24062,female,white,75+,51121,51,7.920015377740072
24062,female,other,75+,51121,51,8.260289994143527
24062,male,other,35-64,51121,51,6.339091042502408
24062,female,white,35-64,51121,51,8.9806383483187
24062,female,other,35-64,51121,51,11.679475699846112
24062,male,black,65-74,51121,51,3.2609849582604973
24062,male,other,35-64,51121,51,5.754434118731594
24062,female,white,0-17,51121,51,7.702738965686136
24062,female,white,0-17,51121,51,7.588593256541896
24062,male,black,65-74,51121,51,2.4954554270897358
24062,male,black,35-64,51121,51,6.058179078549349
24062,female,other,18-34,51121,51,5.147632753115715
24062,male,black,35-64,51121,51,3.7229790342958857
24062,male,black,18-34,51121,51,2.433485080492295
24062,male,white,65-74,51121,51,1.7246707533498675
24062,female,other,75+,51121,51,8.77238427333358
24062,female,white,35-64,51121,51,10.17985428209739
24062,male,black,0-17,51121,51,2.579631308933534
24062,male,black,35-64,51121,51,5.210481796439237
24062,female,white,35-64,51121,51,8.607935231388778
24062,male,black,0-17,51121,51,5.241435029004182
24062,female,white,35-64,51121,51,7.248464413661514
24062,male,black,75+,51121,51,4.840671703258196
24062,male,black,35-64,51121,51,5.541676474147306
24062,female,black,75+,51121,51,6.421137402473114
24062,male,white,18-34,51121,51,2.2782923626905944
24062,female,other,65-74,51121,51,4.694968300042353
24062,female,white,65-74,51121,51,5.114727561946344
24062,female,black,65-74,51121,51,4.682445710970619
24062,female,black,18-34,51121,51,4.715388794018562
24062,female,white,35-64,51121,51,9.88398862325354
24062,female,other,75+,51121,51,8.320512381986225
24062,male,white,0-17,51121,51,6.068935907832507
24062,female,white,65-74,51121,51,5.171894094656463
24062,male,other,0-17,51121,51,7.1416969958608325
24062,male,other,75+,51121,51,7.115517043826121
24062,female,white,65-74,51121,51,4.407716895889334
24062,male,black,75+,51121,51,4.590940462220803
24062,female,other,35-64,51121,51,10.506163634887995
24062,female,black,75+,51121,51,6.473457668961367
24062,male,black,0-17,51121,51,4.7239062196636326
24062,male,black,18-34,51121,51,3.532771721678385
24062,female,other,35-64,51121,51,10.606952115105615
24062,male,white,75+,51121,51,8.249754645913992
24062,male,white,0-17,51121,51,6.350658550674172
24062,male,black,18-34,51121,51,3.19741216120321
24062,female,other,75+,51121,51,6.545891938987399
24062,female,other,35-64,51121,51,10.871866893436124
24062,female,other,65-74,51121,51,6.179969609815483
24062,female,white,35-64,51121,51,9.75652687411861
24062,male,black,18-34,51121,51,3.019564693262629
24062,female,black,35-64,51121,51,6.045083455117732
24062,male,other,0-17,51121,51,5.608568503886205
24062,male,white,0-17,51121,51,6.788233443628044
24062,female,other,35-64,51121,51,8.069632708888486
24062,male,white,65-74,51121,51,2.3202349007109495
24062,female,other,65-74,51121,51,5.389794126637268
24062,female,white,18-34,51121,51,5.269247657737086
24062,male,black,75+,51121,51,5.052023444343839
24062,female,black,35-64,51121,51,8.19350193532629
24062,female,white,35-64,51121,51,8.35386568373142
24062,female,white,65-74,51121,51,4.035409279414237
24062,female,white,65-74,51121,51,6.1088118923017545
24062,female,other,0-17,51121,51,10.723773237677385
24062,male,other,35-64,51121,51,6.256641897427234
24062,female,other,35-64,51121,51,8.201849792234647
24062,female,black,65-74,51121,51,4.919941461742788
24062,male,white,18-34,51121,51,2.938930549334408
24062,female,white,65-74,51121,51,5.55317270072782
24062,male,white,75+,51121,51,6.76738716993364
24062,male,white,75+,51121,51,6.689735620769537
24062,male,white,35-64,51121,51,7.870342198836331
24062,female,white,65-74,51121,51,4.868319328438155
24062,male,white,35-64,51121,51,8.330583927480085
24062,male,black,35-64,51121,51,6.1280698930385205
24062,male,white,35-64,51121,51,5.181624424178734
24062,male,other,35-64,51121,51,6.728818400237004
24062,male,other,0-17,51121,51,5.190669124299488
24062,female,white,0-17,51121,51,7.919474076564574
24062,female,black,65-74,51121,51,4.621883986415835
24062,male,other,18-34,51121,51,3.070139190948293
24062,male,black,65-74,51121,51,4.142402338878039
24062,female,white,0-17,51121,51,9.257295530437547
24062,female,black,18-34,51121,51,5.138115184971012
24062,male,white,18-34,51121,51,4.0331368673613675
24062,female,black,75+,51121,51,6.565986117673384
24062,male,other,0-17,51121,51,4.384019191305423
24062,male,white,18-34,51121,51,3.0506237210507043
24062,male,other,0-17,51121,51,5.384474159872781
24062,female,black,65-74,51121,51,5.540574556720831
24062,male,other,35-64,51121,51,7.248995937381201
24062,male,black,35-64,51121,51,7.43262035915526
24062,female,white,65-74,51121,51,4.9446705512093985
24062,female,other,18-34,51121,51,7.924142398067194
24062,female,other,35-64,51121,51,8.915783157960488
24062,female,white,75+,51121,51,7.442908293386486
24062,female,black,35-64,51121,51,8.803870675932416
24062,female,other,0-17,51121,51,9.077638937506734
24062,female,white,75+,51121,51,8.310054589360785
24062,female,white,65-74,51121,51,4.676992827182021
24062,male,white,18-34,51121,51,3.375873858182351
24062,female,black,75+,51121,51,7.037846545549138
24062,female,black,35-64,51121,51,9.012937401536451
24062,male,other,35-64,51121,51,8.803471777571499
24062,male,black,65-74,51121,51,2.2797742371395944
24062,female,black,65-74,51121,51,5.201989714986536
24062,female,white,18-34,51121,51,5.399600625234301
24062,male,black,0-17,51121,51,5.749238932955262
24062,male,white,75+,51121,51,5.065639491827332
24062,male,black,18-34,51121,51,1.322655554110429
24062,female,other,35-64,51121,51,10.229942547449252
24062,male,other,18-34,51121,51,3.999533554449414
24062,male,black,0-17,51121,51,3.5690404283082344
24062,female,black,0-17,51121,51,8.986824174291572
24062,female,white,35-64,51121,51,11.655062523272557
24062,female,white,18-34,51121,51,6.344883230452944
24062,male,black,0-17,51121,51,3.4165068048060285
24062,female,other,35-64,51121,51,10.818627304994273
24062,male,black,75+,51121,51,3.5604352078363624
24062,male,black,35-64,51121,51,5.27139138203002
24062,male,white,0-17,51121,51,5.76083582578941
24062,male,white,75+,51121,51,5.267928450307755
24062,male,other,0-17,51121,51,6.517389188178178
24062,male,black,35-64,51121,51,6.846289836411703
24062,female,white,35-64,51121,51,9.737227273577624
24062,male,black,65-74,51121,51,3.3615532551282454
24062,male,other,18-34,51121,51,5.30428516166935
24062,female,white,0-17,51121,51,9.498219511016494
24062,male,white,35-64,51121,51,4.544598446228544
24062,female,other,75+,51121,51,8.521958955971327
24062,male,white,0-17,51121,51,6.764978248813039
24063,male,black,65-74,51121,51,0.535060870882109
24063,male,white,35-64,51121,51,5.849631140433076
24063,female,black,35-64,51121,51,7.832401439389297
24063,female,other,18-34,51121,51,6.202187398510402
24063,male,black,0-17,51121,51,6.829992758743434
24063,male,black,0-17,51121,51,5.656526648043457
24063,male,black,35-64,51121,51,5.947406932345424
24063,male,black,75+,51121,51,4.275094843245429
24063,male,other,75+,51121,51,6.02400825432046
24063,male,other,35-64,51121,51,8.734641813265293
24063,female,other,75+,51121,51,9.886722112658248
24063,female,white,65-74,51121,51,5.759509156440998
24063,male,other,18-34,51121,51,3.1413544660184116
24063,male,white,65-74,51121,51,3.2814246560016684
24063,female,other,18-34,51121,51,5.209492437058536
24063,male,black,75+,51121,51,5.00511987695627
24063,male,black,35-64,51121,51,6.591277943566233
24063,female,white,0-17,51121,51,9.770093832945406
24063,male,white,75+,51121,51,6.688873741553711
24063,male,white,18-34,51121,51,3.2081083619568056
24063,female,white,0-17,51121,51,10.685046265828287
24063,male,white,65-74,51121,51,3.564429873512132
24063,male,white,35-64,51121,51,8.409204762932964
24063,male,black,18-34,51121,51,3.213631253197439
24063,male,black,65-74,51121,51,2.1266577318520667
24063,male,black,18-34,51121,51,3.3213357994562243
24063,male,other,65-74,51121,51,3.794926213323854
24063,male,other,18-34,51121,51,3.791219659941674
24063,male,white,0-17,51121,51,5.619738831084966
24063,male,other,75+,51121,51,7.133739945795033
24063,female,black,75+,51121,51,7.971624698705182
24063,male,white,35-64,51121,51,6.611289140495781
24063,male,black,35-64,51121,51,5.723646879492712
24063,male,black,75+,51121,51,4.649856812833476
24063,female,black,75+,51121,51,5.894175440372431
24063,female,other,0-17,51121,51,10.109088433992447
24063,male,white,0-17,51121,51,6.511709959924524
24063,female,other,35-64,51121,51,8.985993077874335
24063,male,white,65-74,51121,51,3.447993816063467
24063,male,white,35-64,51121,51,6.5254761116251085
24063,female,black,75+,51121,51,7.3025483547779135
24063,female,black,0-17,51121,51,8.134668865619211
24063,male,white,18-34,51121,51,3.16982516346336
24063,male,white,75+,51121,51,6.704759995586851
24063,male,other,0-17,51121,51,7.99463029598736
24063,female,white,0-17,51121,51,8.42604246652063
24063,female,other,35-64,51121,51,9.76016873746832
24063,female,other,18-34,51121,51,6.639097241029046
24063,female,white,0-17,51121,51,8.260982067876693
24063,male,other,0-17,51121,51,6.963675913478638
24063,female,white,35-64,51121,51,10.333319499062116
24063,female,black,75+,51121,51,8.001571901133373
24063,male,other,75+,51121,51,5.952229578956224
24063,male,other,65-74,51121,51,3.772740332556882
24063,male,black,35-64,51121,51,5.121927738999057
24063,male,black,65-74,51121,51,4.124119235234839
24063,female,other,35-64,51121,51,10.330404874583706
24063,female,black,0-17,51121,51,9.248894410171651
24063,male,white,0-17,51121,51,6.5587666543201335
24063,female,white,18-34,51121,51,6.464213806872315
24063,female,black,0-17,51121,51,7.888234148874584
24063,male,other,18-34,51121,51,4.570021276592866
24063,male,other,18-34,51121,51,5.478399496038897
24063,male,white,0-17,51121,51,7.281404076045588
24063,female,white,65-74,51121,51,6.236481109045587
24063,female,other,75+,51121,51,12.141037432080749
24063,male,other,0-17,51121,51,7.9918217385733
24063,female,other,18-34,51121,51,8.361882177270699
24063,male,white,18-34,51121,51,4.844080265833181
24063,male,black,0-17,51121,51,6.620603786149088
24063,female,white,18-34,51121,51,4.338064786905707
24063,male,white,0-17,51121,51,7.777339443747209
24063,male,black,0-17,51121,51,5.563196057457124
24063,female,other,75+,51121,51,9.026069327855431
24063,female,black,0-17,51121,51,8.469660906144219
24063,male,white,75+,51121,51,7.094385158453584
24063,female,white,35-64,51121,51,8.407791887146347
24063,male,other,18-34,51121,51,4.245942974931432
24063,female,white,75+,51121,51,10.388888508788709
24063,female,white,75+,51121,51,8.783752751347173
