sex,race,age,edu,state,response,repvote
female,white,63,4-year college,PA,1,0.503755358
female,white,19,4-year college,PA,0,0.503755358
female,white,22,4-year college,RI,0,0.416892959
female,white,24,hs,OH,0,0.542676846
female,white,56,4-year college,NC,0,0.519037458
female,white,56,some college,OH,1,0.542676846
male,white,57,no hs,GA,1,0.526611726
male,white,30,4-year college,OH,1,0.542676846
male,white,52,some college,FL,0,0.506188355
female,black,21,some college,PA,0,0.503755358
female,white,51,post-grad,OH,0,0.542676846
female,white,20,some college,LA,0,0.601716772
female,other,49,4-year college,CA,1,0.338717892
male,white,35,post-grad,KY,0,0.65670629
male,black,20,hs,NJ,1,0.427158099
male,white,55,4-year college,TN,1,0.63624343
male,black,59,hs,UT,0,0.623836582
female,white,89,hs,TN,1,0.63624343
female,other,39,hs,MA,0,0.353487213
female,white,59,post-grad,GA,1,0.526611726
female,white,65,hs,GA,1,0.526611726
female,white,24,hs,FL,0,0.506188355
male,white,41,hs,IL,0,0.409799486
male,other,98,post-grad,FL,1,0.506188355
male,white,18,hs,NJ,1,0.427158099
male,white,27,4-year college,AZ,1,0.518900234
female,white,69,hs,GA,1,0.526611726
male,white,64,post-grad,WI,0,0.50407989
male,white,43,post-grad,FL,1,0.506188355
female,other,53,4-year college,TX,0,0.547132256
male,white,37,4-year college,WA,1,0.412130688
female,white,81,hs,PA,1,0.503755358
female,white,29,some college,LA,0,0.601716772
female,white,51,post-grad,PA,1,0.503755358
female,other,30,4-year college,NM,0,0.453492051
male,other,57,no hs,NY,1,0.382275815
male,white,63,post-grad,CA,0,0.338717892
female,white,69,hs,CT,0,0.428584525
male,white,65,hs,MI,1,0.501176682
female,black,33,4-year college,OH,1,0.542676846
female,white,66,post-grad,CA,0,0.338717892
female,other,35,some college,FL,0,0.506188355
female,white,43,hs,OH,0,0.542676846
male,white,56,post-grad,NJ,1,0.427158099
female,white,100,hs,FL,1,0.506188355
male,white,53,4-year college,VA,0,0.471736237
female,white,40,some college,TN,1,0.63624343
female,other,27,hs,CA,0,0.338717892
female,white,51,hs,OH,1,0.542676846
female,white,51,no hs,IA,0,0.550635478
male,white,57,no hs,TN,0,0.63624343
female,white,30,hs,CA,1,0.338717892
male,white,45,post-grad,KY,0,0.65670629
female,white,63,4-year college,WY,1,0.757053196
female,white,25,hs,KY,1,0.65670629
female,white,21,hs,WV,0,0.721610523
female,white,62,hs,IA,0,0.550635478
male,white,32,hs,CA,1,0.338717892
female,white,23,hs,PA,1,0.503755358
male,white,53,some college,VA,0,0.471736237
male,white,18,4-year college,IA,0,0.550635478
male,white,42,hs,NC,0,0.519037458
male,white,59,some college,CA,1,0.338717892
male,black,38,some college,NV,1,0.487062906
female,white,45,hs,AZ,1,0.518900234
male,white,42,4-year college,CA,0,0.338717892
male,white,46,hs,PA,1,0.503755358
female,white,35,hs,KS,1,0.611114703
female,white,19,some college,NY,0,0.382275815
male,other,21,4-year college,OR,0,0.438441611
male,white,41,some college,TN,0,0.63624343
female,white,77,hs,MO,0,0.59818561
male,white,46,some college,TX,0,0.547132256
female,white,65,hs,NV,1,0.487062906
male,white,79,4-year college,FL,1,0.506188355
female,black,33,some college,GA,1,0.526611726
female,white,28,some college,CA,1,0.338717892
female,white,79,hs,MN,1,0.491681431
male,black,23,some college,MO,0,0.59818561
male,white,33,post-grad,MO,0,0.59818561
male,white,28,4-year college,NC,0,0.519037458
female,black,22,some college,FL,0,0.506188355
female,white,25,hs,NC,1,0.519037458
female,white,61,hs,GA,0,0.526611726
female,black,54,some college,CA,1,0.338717892
male,other,26,no hs,AZ,0,0.518900234
female,white,63,hs,NC,0,0.519037458
female,white,18,some college,MO,1,0.59818561
male,white,35,4-year college,AL,0,0.643741436
female,white,64,hs,MO,0,0.59818561
female,white,69,4-year college,WA,0,0.412130688
male,black,52,4-year college,FL,0,0.506188355
male,white,64,4-year college,CA,0,0.338717892
female,white,49,no hs,AL,1,0.643741436
male,white,69,4-year college,WA,0,0.412130688
male,white,29,hs,CA,0,0.338717892
female,white,29,4-year college,NY,1,0.382275815
female,white,49,some college,CO,0,0.473166666
female,white,25,4-year college,PA,0,0.503755358
female,white,21,post-grad,CA,0,0.338717892
female,black,36,post-grad,NC,0,0.519037458
male,white,36,4-year college,PA,1,0.503755358
female,black,64,hs,KY,0,0.65670629
male,white,53,some college,IL,1,0.409799486
female,white,26,4-year college,IN,0,0.601173095
female,white,52,post-grad,TX,1,0.547132256
male,black,18,some college,NC,0,0.519037458
male,white,78,hs,CA,0,0.338717892
female,white,24,4-year college,NY,1,0.382275815
female,white,54,hs,IN,0,0.601173095
female,white,62,4-year college,AZ,0,0.518900234
female,white,88,some college,CA,0,0.338717892
female,white,42,4-year college,MO,1,0.59818561
male,black,66,some college,LA,1,0.601716772
female,white,57,hs,WA,1,0.412130688
female,black,45,post-grad,CT,0,0.428584525
male,other,47,some college,MI,0,0.501176682
female,white,23,hs,AL,0,0.643741436
female,black,24,some college,GA,0,0.526611726
male,other,20,post-grad,IL,1,0.409799486
male,black,30,some college,CA,0,0.338717892
male,black,55,hs,NY,0,0.382275815
female,white,64,4-year college,NJ,0,0.427158099
male,white,47,some college,NJ,0,0.427158099
male,other,20,4-year college,MI,0,0.501176682
male,white,36,post-grad,NY,1,0.382275815
male,white,35,4-year college,MN,0,0.491681431
male,white,94,post-grad,WA,0,0.412130688
female,white,57,hs,OH,1,0.542676846
male,white,31,some college,CA,1,0.338717892
female,white,19,hs,CA,1,0.338717892
female,white,50,hs,AZ,0,0.518900234
female,white,30,hs,WI,0,0.50407989
female,other,24,no hs,MA,0,0.353487213
female,white,94,hs,FL,1,0.506188355
female,white,68,some college,PA,1,0.503755358
female,white,29,some college,UT,1,0.623836582
female,white,20,4-year college,VA,1,0.471736237
male,other,51,4-year college,CA,0,0.338717892
male,white,30,some college,PA,0,0.503755358
male,white,93,post-grad,TN,1,0.63624343
female,white,18,4-year college,IL,0,0.409799486
female,white,66,4-year college,MA,0,0.353487213
male,white,29,some college,IN,0,0.601173095
female,black,39,no hs,GA,0,0.526611726
female,white,51,hs,MN,0,0.491681431
male,white,67,4-year college,FL,1,0.506188355
female,white,34,some college,AL,1,0.643741436
female,white,65,4-year college,CA,0,0.338717892
female,black,52,some college,CA,1,0.338717892
male,white,65,hs,WV,1,0.721610523
male,white,75,post-grad,TX,1,0.547132256
female,white,67,hs,NY,0,0.382275815
female,white,28,some college,NY,0,0.382275815
female,white,44,post-grad,GA,0,0.526611726
female,other,29,4-year college,FL,1,0.506188355
female,black,94,post-grad,NY,0,0.382275815
male,white,67,4-year college,NV,1,0.487062906
female,white,28,post-grad,CA,1,0.338717892
female,white,67,hs,HI,1,0.325586625
male,white,19,post-grad,KY,0,0.65670629
female,white,42,some college,MI,0,0.501176682
female,white,62,some college,CA,1,0.338717892
male,white,52,4-year college,OH,0,0.542676846
male,white,68,some college,CA,0,0.338717892
male,white,39,post-grad,MA,0,0.353487213
female,other,20,some college,WA,0,0.412130688
female,white,50,some college,WI,0,0.50407989
female,white,64,hs,PA,0,0.503755358
female,black,41,4-year college,KS,0,0.611114703
male,black,23,hs,NC,1,0.519037458
male,white,30,hs,TX,1,0.547132256
female,white,26,some college,IN,1,0.601173095
female,white,60,4-year college,NC,0,0.519037458
female,black,57,post-grad,NY,0,0.382275815
male,white,51,post-grad,PA,0,0.503755358
male,other,68,some college,FL,1,0.506188355
male,white,28,hs,NY,0,0.382275815
male,black,43,some college,GA,0,0.526611726
female,white,62,no hs,CA,0,0.338717892
female,other,28,some college,MN,0,0.491681431
female,white,30,some college,MI,0,0.501176682
female,black,60,hs,NC,0,0.519037458
female,white,43,some college,OH,1,0.542676846
female,white,62,some college,NC,0,0.519037458
male,white,65,4-year college,UT,0,0.623836582
female,white,36,post-grad,WA,0,0.412130688
female,white,18,hs,PA,0,0.503755358
female,white,22,4-year college,PA,0,0.503755358
female,other,38,4-year college,CA,1,0.338717892
male,white,38,4-year college,PA,1,0.503755358
female,white,27,some college,MA,0,0.353487213
male,white,56,hs,NV,0,0.487062906
male,white,56,some college,CT,0,0.428584525
female,white,26,4-year college,NY,0,0.382275815
male,white,22,4-year college,MO,1,0.59818561
female,white,65,4-year college,GA,0,0.526611726
male,white,25,hs,WA,0,0.412130688
female,white,19,no hs,IL,0,0.409799486
female,white,94,4-year college,FL,1,0.506188355
female,black,33,some college,FL,0,0.506188355
female,other,67,hs,FL,1,0.506188355
female,white,69,hs,MN,0,0.491681431
female,other,39,hs,CA,0,0.338717892
female,white,22,4-year college,MI,1,0.501176682
female,white,56,post-grad,IL,0,0.409799486
female,white,69,4-year college,NM,0,0.453492051
male,other,32,some college,WA,0,0.412130688
male,white,53,4-year college,MD,0,0.359837503
female,black,19,no hs,CA,1,0.338717892
female,white,71,hs,CA,0,0.338717892
male,white,91,post-grad,NV,1,0.487062906
male,white,49,post-grad,FL,0,0.506188355
female,white,62,hs,MT,0,0.611096643
female,other,52,hs,TX,0,0.547132256
male,white,100,hs,VA,0,0.471736237
male,white,82,some college,TN,1,0.63624343
female,white,23,4-year college,WI,0,0.50407989
female,white,62,some college,CT,0,0.428584525
female,white,30,4-year college,OR,0,0.438441611
male,white,18,hs,NJ,0,0.427158099
male,white,46,hs,MO,0,0.59818561
female,white,51,post-grad,PA,0,0.503755358
male,white,56,4-year college,ID,0,0.683101767
male,white,62,post-grad,IN,1,0.601173095
male,white,20,some college,MD,0,0.359837503
female,white,28,hs,PA,1,0.503755358
female,white,89,some college,PA,0,0.503755358
male,white,98,no hs,FL,1,0.506188355
female,white,86,hs,WV,0,0.721610523
female,other,33,4-year college,GA,1,0.526611726
male,other,37,post-grad,CA,1,0.338717892
male,other,68,post-grad,TX,1,0.547132256
female,white,23,hs,TN,0,0.63624343
female,white,43,no hs,KY,0,0.65670629
female,white,96,some college,PA,0,0.503755358
female,white,82,post-grad,MA,0,0.353487213
male,other,45,some college,CA,1,0.338717892
male,white,66,hs,TN,0,0.63624343
female,white,31,some college,PA,1,0.503755358
female,white,74,some college,AR,0,0.642851377
male,white,34,some college,NC,0,0.519037458
male,other,47,4-year college,CA,1,0.338717892
male,white,64,4-year college,FL,1,0.506188355
male,white,56,hs,FL,0,0.506188355
female,other,25,4-year college,WI,0,0.50407989
female,white,27,some college,LA,0,0.601716772
male,white,55,hs,FL,0,0.506188355
female,white,39,4-year college,PA,0,0.503755358
female,white,20,some college,TX,0,0.547132256
female,white,88,hs,TX,0,0.547132256
male,white,98,post-grad,IA,0,0.550635478
female,other,44,some college,CA,1,0.338717892
female,white,49,hs,NJ,1,0.427158099
female,white,28,hs,GA,1,0.526611726
male,white,57,hs,PA,0,0.503755358
male,white,69,some college,AZ,1,0.518900234
female,white,46,some college,MT,1,0.611096643
female,white,30,4-year college,WI,0,0.50407989
male,white,87,hs,NY,0,0.382275815
female,white,31,hs,TX,1,0.547132256
male,white,94,4-year college,TX,1,0.547132256
male,white,69,hs,GA,1,0.526611726
female,white,27,4-year college,IL,0,0.409799486
male,white,37,post-grad,MI,0,0.501176682
female,white,22,4-year college,AR,0,0.642851377
female,white,78,some college,AL,0,0.643741436
male,white,67,4-year college,TX,1,0.547132256
female,white,62,hs,WI,0,0.50407989
female,other,46,4-year college,UT,1,0.623836582
male,white,45,some college,NJ,1,0.427158099
male,white,35,some college,PA,0,0.503755358
female,other,28,4-year college,RI,0,0.416892959
female,other,52,hs,CA,0,0.338717892
female,other,29,4-year college,CA,0,0.338717892
female,white,65,hs,MN,1,0.491681431
female,black,49,4-year college,MD,1,0.359837503
male,white,28,some college,NC,1,0.519037458
female,white,32,hs,CA,0,0.338717892
female,white,70,hs,RI,1,0.416892959
male,white,50,some college,LA,1,0.601716772
female,white,69,post-grad,SC,1,0.574602564
female,white,64,hs,IA,0,0.550635478
female,white,75,hs,WA,0,0.412130688
male,black,65,some college,GA,0,0.526611726
female,other,33,some college,CA,0,0.338717892
female,white,29,some college,NJ,0,0.427158099
female,white,62,hs,PA,1,0.503755358
female,white,58,4-year college,NJ,0,0.427158099
male,white,54,hs,SD,0,0.659718581
male,white,39,post-grad,NJ,0,0.427158099
female,black,38,hs,GA,1,0.526611726
female,white,52,some college,PA,1,0.503755358
male,other,58,4-year college,TX,1,0.547132256
female,other,27,4-year college,FL,0,0.506188355
male,other,62,hs,VA,1,0.471736237
female,white,54,no hs,CA,1,0.338717892
female,other,27,4-year college,MI,0,0.501176682
female,white,53,some college,OK,1,0.693047372
female,white,44,hs,IL,1,0.409799486
female,white,39,4-year college,CT,0,0.428584525
female,white,84,no hs,MA,1,0.353487213
female,white,29,4-year college,WV,1,0.721610523
male,white,42,4-year college,OK,0,0.693047372
female,white,28,some college,IL,1,0.409799486
female,other,40,some college,NY,0,0.382275815
female,white,21,hs,OK,1,0.693047372
female,other,21,4-year college,CA,0,0.338717892
male,white,52,4-year college,CO,1,0.473166666
male,other,35,4-year college,CA,0,0.338717892
male,white,58,some college,SC,1,0.574602564
female,white,62,some college,PA,0,0.503755358
male,other,18,some college,CA,1,0.338717892
male,white,46,4-year college,NJ,0,0.427158099
male,white,83,post-grad,CT,0,0.428584525
female,white,37,some college,TX,0,0.547132256
female,white,53,4-year college,NC,1,0.519037458
male,white,52,some college,TX,1,0.547132256
male,black,49,some college,NY,0,0.382275815
male,white,57,4-year college,VA,1,0.471736237
male,other,48,hs,WA,0,0.412130688
female,black,34,no hs,KS,1,0.611114703
female,white,55,post-grad,DE,1,0.440013786
female,white,26,some college,FL,0,0.506188355
female,white,25,post-grad,CO,0,0.473166666
male,black,58,4-year college,CO,0,0.473166666
female,white,72,some college,AL,1,0.643741436
female,white,58,4-year college,LA,1,0.601716772
female,white,91,4-year college,FL,0,0.506188355
female,other,29,hs,TX,0,0.547132256
female,white,58,hs,CA,1,0.338717892
female,white,62,no hs,WV,0,0.721610523
female,white,56,some college,FL,1,0.506188355
male,white,69,some college,OH,0,0.542676846
female,other,39,4-year college,CA,0,0.338717892
female,white,90,hs,GA,1,0.526611726
female,white,85,post-grad,NC,0,0.519037458
female,white,54,4-year college,WI,1,0.50407989
female,white,24,some college,TX,0,0.547132256
male,black,68,hs,KY,0,0.65670629
female,white,36,4-year college,VA,0,0.471736237
male,other,44,post-grad,NJ,1,0.427158099
male,white,52,post-grad,IN,0,0.601173095
male,white,64,4-year college,VA,1,0.471736237
female,white,31,4-year college,LA,1,0.601716772
male,white,40,post-grad,MD,0,0.359837503
female,white,77,no hs,IA,1,0.550635478
female,white,59,some college,GA,1,0.526611726
male,white,63,4-year college,FL,0,0.506188355
female,white,64,some college,VA,0,0.471736237
male,white,20,hs,GA,1,0.526611726
male,white,96,4-year college,MI,0,0.501176682
female,black,52,some college,OK,0,0.693047372
male,white,63,4-year college,CO,0,0.473166666
male,white,87,post-grad,AL,1,0.643741436
female,black,53,some college,PA,1,0.503755358
female,white,18,some college,FL,1,0.506188355
male,white,47,some college,AL,1,0.643741436
male,white,40,some college,NC,0,0.519037458
female,white,92,some college,TX,0,0.547132256
female,white,34,post-grad,MO,1,0.59818561
female,white,55,4-year college,GA,1,0.526611726
female,white,65,post-grad,MD,1,0.359837503
female,other,36,no hs,GA,1,0.526611726
male,white,93,post-grad,IN,1,0.601173095
female,white,42,some college,TN,1,0.63624343
female,white,32,some college,AZ,0,0.518900234
female,black,58,some college,PA,0,0.503755358
female,white,50,post-grad,IN,0,0.601173095
female,other,21,hs,FL,1,0.506188355
male,white,39,post-grad,VA,0,0.471736237
female,black,34,some college,IN,0,0.601173095
male,white,50,some college,UT,0,0.623836582
female,white,57,hs,CA,1,0.338717892
female,white,24,hs,MD,0,0.359837503
female,white,59,4-year college,IN,0,0.601173095
female,white,66,post-grad,CA,0,0.338717892
female,white,51,post-grad,NJ,1,0.427158099
female,white,42,some college,IN,0,0.601173095
female,other,28,some college,NV,1,0.487062906
male,white,57,post-grad,TN,1,0.63624343
male,white,62,hs,MA,1,0.353487213
female,white,81,post-grad,FL,0,0.506188355
male,white,34,post-grad,FL,1,0.506188355
male,white,59,post-grad,TX,0,0.547132256
female,white,89,post-grad,MO,0,0.59818561
female,black,64,hs,VA,1,0.471736237
female,white,25,4-year college,IN,1,0.601173095
female,white,52,post-grad,NY,0,0.382275815
female,white,21,4-year college,OH,0,0.542676846
male,white,52,4-year college,SC,0,0.574602564
female,white,80,hs,KS,0,0.611114703
female,white,60,hs,CO,0,0.473166666
female,black,30,some college,CA,0,0.338717892
female,white,57,some college,TX,1,0.547132256
male,white,62,post-grad,WA,0,0.412130688
male,white,37,4-year college,MD,1,0.359837503
female,other,34,4-year college,FL,1,0.506188355
male,white,61,4-year college,AZ,0,0.518900234
female,white,24,some college,AL,0,0.643741436
female,other,22,some college,MN,0,0.491681431
female,white,22,post-grad,PA,1,0.503755358
male,white,72,some college,CA,0,0.338717892
male,white,22,some college,UT,0,0.623836582
female,black,19,hs,TX,0,0.547132256
male,white,47,4-year college,NJ,0,0.427158099
female,white,65,some college,KY,1,0.65670629
male,white,21,4-year college,NY,1,0.382275815
female,white,61,some college,MI,0,0.501176682
female,white,58,4-year college,TX,0,0.547132256
female,black,36,4-year college,NC,0,0.519037458
female,white,31,some college,ME,0,0.484032089
male,white,85,4-year college,TX,1,0.547132256
female,other,37,some college,MO,0,0.59818561
male,black,68,some college,CA,0,0.338717892
female,white,32,post-grad,VA,0,0.471736237
female,white,60,hs,NC,1,0.519037458
female,black,28,some college,LA,0,0.601716772
male,white,19,hs,TX,0,0.547132256
female,white,73,hs,MS,1,0.590898473
male,white,67,some college,KS,0,0.611114703
male,white,44,some college,ID,1,0.683101767
female,black,53,4-year college,MS,0,0.590898473
female,white,66,some college,TX,1,0.547132256
male,white,32,some college,OH,1,0.542676846
male,other,26,some college,NY,1,0.382275815
male,white,38,hs,PA,1,0.503755358
female,white,61,some college,WA,1,0.412130688
male,white,74,4-year college,TX,0,0.547132256
female,other,23,hs,GA,1,0.526611726
male,white,26,some college,OH,0,0.542676846
female,white,28,some college,GA,0,0.526611726
male,white,53,hs,OH,1,0.542676846
male,white,60,hs,WI,0,0.50407989
female,white,40,some college,MI,1,0.501176682
female,white,25,hs,MO,0,0.59818561
female,white,66,some college,CA,1,0.338717892
male,white,23,hs,MI,0,0.501176682
female,white,56,4-year college,TX,1,0.547132256
male,white,66,hs,CA,1,0.338717892
male,white,70,some college,MD,1,0.359837503
female,white,30,4-year college,NJ,0,0.427158099
female,white,30,no hs,NH,0,0.498029716
female,other,20,some college,MA,1,0.353487213
female,white,59,some college,ME,0,0.484032089
male,white,30,some college,CA,0,0.338717892
male,other,36,4-year college,LA,0,0.601716772
male,white,37,4-year college,CA,1,0.338717892
female,white,31,some college,CA,1,0.338717892
male,other,48,some college,TX,0,0.547132256
male,white,36,some college,IN,0,0.601173095
female,black,24,4-year college,TX,1,0.547132256
male,white,64,hs,FL,0,0.506188355
male,white,66,some college,TX,1,0.547132256
female,black,56,post-grad,AL,0,0.643741436
male,white,22,post-grad,NH,1,0.498029716
male,white,68,4-year college,GA,1,0.526611726
female,white,88,hs,NY,1,0.382275815
male,other,30,some college,CA,0,0.338717892
